sentence,label,GPT3_response
"Since the kiss that morning , Neal hadn 't renewed his attentions .
",NNS," The number of the object of the sentence is ""one""."
"Thank heavens she 'd thought to indulge in pink satin after her shower .
",NNS," The number of the object of the sentence ""Thank heavens she 'd thought to indulge in pink satin after her shower ."" is singular."
"The other ships had all taken up anchoring positions around the large green bridge that towered over the river .
",NNS, ships
"The Grand Master frowned at the tarnished grain , she could of at least had the decency to defile the floor .
",NN," The subject of the sentence is ""The Grand Master."""
"I swipe my palms over my jeans .
",NNS, There is no object in this sentence.
"And she had a special abilities just like me .
",NNS," the number of the object of the sentence ""And she had a special abilities just like me ."" is 1"
"The wind carried fragments of laughter over to the balcony .
",NNS," The number of the object of the sentence ""The wind carried fragments of laughter over to the balcony"" is singular."
""" My Dad had a stroke about 5 years ago .
",NN," The number of the object of the sentence ""My Dad had a stroke about 5 years ago."" is 5."
"I know Arlo 's capabilities and James is only human .
",NNS," The number of the subject of the sentence is ""I""."
"His eyes shot bitter venom at her .
",NN," The number of the object of the sentence ""His eyes shot bitter venom at her."" is singular."
"Her questing fingers found his flat , male nipple ; she smiled to see it draw to a tight point under her touch .
",NN, The number of the object of the sentence is singular.
"Who knew what nightmare his brother would raise ?
",NN," The number of the object of the sentence is ""what nightmare his brother would raise."""
"He steps down another stair and then another , closing in on me like the damn walls always do .
",NN," The number of the object of the sentence is ""one""."
"You have four new messages from your grandpa !
",NNS," The number of the object of the sentence ""You have four new messages from your grandpa!"" is four."
"He saw easy marks in the two young sailors .
",NNS, The number of the object of the sentence is two.
"Whatever was happening , my trembling hands had already started the task of searching for the spot where I 'd left off .
",NN," The subject of the sentence is ""my trembling hands."""
"While I waited , still clutching Sawyer 's hand , I felt the stares around me .
",NNS," The number of the object of the sentence is ""one""."
""" Son , I saw those pages the vamps sent .
",NNS," The number of the object of the sentence ""Son, I saw those pages the vamps sent."" is ""pages."""
"He could feel the heaviness in her heart .
",NNS," The number of the object of the sentence is ""one""."
"It 's carrying hardware , no crew - everything on automatic . ""
",NN," The number of the object of the sentence ""It 's carrying hardware , no crew - everything on automatic . "" is ""everything."""
"Caterina pulled the reins of her horse in , so that it reared .
",NNS," Caterina is the subject, pulled is the verb, reins is the direct object, horse is the indirect object, and in is the preposition."
"The bite shot a zing of sensation to every limb .
",NN," The number of the object of the sentence is ""a zing of sensation."""
"The company was making significant leaps every day and he 'd become confident in the abilities of his subordinate Officers .
",NNS," The number of the object of the sentence is ""subordinate Officers""."
"But did she have the sorts of dreams I had ?
",NNS, There is no object in this sentence.
""" Oops -- dropped my pen . ""
",NN, One
"I can still tell you what was in there : Two dresses , one fancier than the other .
",NNS, Two
"It also hovered only a few inches from her skin , same as with Kingsley .
",NNS," ""It"" is the number of the object of the sentence."
"Once the tents were up , a variety of colors checkered the landscape .
",NN, The tents are the object of the sentence.
"Mara set down a platter overflowing with biscuits , warm slices of fresh bread , bacon , and sausage links .
",NN, The number of the object of the sentence is 4.
"A tingle of excitement ran down his spine .
",NN, The number of the object of the sentence is one.
"Her comment pricks my curiosity , but she continues before I can ask her about it .
",NN," The number of the object of the sentence ""Her comment pricks my curiosity , but she continues before I can ask her about it ."" issingular."
"Will probably make an excellent hunter , too .
",NN," The number of the object of the sentence is ""too""."
"When he arrived to the tables he found his group playing cards as if nothing was happening .
",NNS," The number of the object of the sentence ""When he arrived to the tables he found his group playing cards as if nothing was happening."" is singular."
"Usually , the pill dulled all areas of the brain except for the one in which the person was naturally most gifted .
",NNS," ""The pill"" is the object of the sentence."
"Then I pick up a razor that 's by my foot and break up the clumps with it .
",NN," The number of the object of the sentence is ""one""."
"His body stopped inches away from hers .
",NNS," The number of the object of the sentence is ""one."""
"At sixteen , she could be considered a suspect .
",NN," The number of the object of the sentence ""At sixteen, she could be considered a suspect."" is singular."
"Anger must be cutting off the blood supply to her brain .
",NN," The number of the object of the sentence ""Anger must be cutting off the blood supply to her brain."" is singular."
""" I found cameras in the bedrooms ! ""
",NNS," The number of the object of the sentence ""I found cameras in the bedrooms!"" is ""cameras."""
"Standing a few yards away was a little girl , her head cocked at an impossible angle and dry blood covering her mouth .
",NNS," The number of the object of the sentence is ""a little girl."""
"I swallow my toast and take a sip of tea .
",NN," The number of the object of the sentence ""I swallow my toast and take a sip of tea"" is 1."
"Why , when I look in your eyes , I see the wheels turning ? ""
",NNS," The number of the object of the sentence ""Why , when I look in your eyes , I see the wheels turning ?"" is 1."
"Pork was getting a good price and they 'd been able to buy another horse and a small wagon .
",NN," The number of the object of the sentence is ""a small wagon."""
"As soon as you reach the bottom use your compass to navigate there .
",NNS, There is no number in the sentence.
"When I went to bed earlier , I heard the typical night noises from the nocturnal animals in the trees and the insects making their usual sounds .
",NNS," The number of the object of the sentence is ""noises."""
"The second dark-haired man snapped off a salute .
",NN," The number of the object of the sentence ""The second dark-haired man snapped off a salute"" is 2."
"I was just bagging apples when my cell phone rang .
",NNS," The number of the object of the sentence is ""one."""
"An evil woman would have given the disks to Bill 's boss , Eric .
",NNS, Disks
"He used the cloth to blot them away .
",NN," The number of the object of the sentence ""He used the cloth to blot them away"" is singular."
"I shuddered at the eerie image and sat down on one of the uncomfortably firm red sofas that filled the family Cinema .
",NNS," The number of the object of the sentence is ""one."""
""" I hunt monsters and I think there is one here .
",NNS," The number of the object of the sentence ""I hunt monsters and I think there is one here."" is one."
"They made their exit together and , shortly thereafter , her magic carried them both far away .
",NN," ""They"" is the subject and ""her"" is the possessive pronoun, so the number is plural."
"' They 'll keep your spark plugs working if you 're lucky , but that 's about it .
",NNS," The number of the subject is plural, so the number of the object must be plural as well."
"Tonight I bought condoms , and almost nothing else , with the boy I 'm planning to use them with .
",NNS," The number of the object of the sentence is ""almost nothing else."""
"The stone had a smooth , almost glassy quality as it reflected the evening sun .
",NN," The number of the object of the sentence ""The stone had a smooth , almost glassy quality as it reflected the evening sun ."" is singular."
"Fallon suppressed a groan .
",NN," The word ""groan"" is the object of the sentence, so the number would be singular."
"Either way , Lena would be reading the crossword puzzle .
",NN, crossword puzzle
"Fortunately , she hadn 't requested references .
",NNS," The number of the object of the sentence ""Fortunately , she hadn 't requested references .
"" is singular."
"We found the labs on the next floor .
",NNS," The number of the object of the sentence ""We found the labs on the next floor"" is one."
"I ordered two hamburgers for him and a small Pepsi for me , and returned to the table to wait .
",NNS," The number of the object of the sentence is ""two."""
"He must have felt pity for me , otherwise he never would have smiled and answered .
",NN, 1
"He took a cloth and wiped her face , and then he kissed her forehead .
",NN," The number of the object of the sentence is ""one."""
"He flipped a few more pages .
",NNS," The number of the object of the sentence ""He flipped a few more pages"" is plural."
"Quinlan closed the file and set it down , then crossed his arms over his chest .
",NN, There is no object in the sentence.
"I could almost see his mind spinning .
",NN, The number of the subject is singular.
""" Can I borrow a pen ? ""
",NN, Pen
"And in my head , I 'm already composing the email that I 'll send to Becca about this experience .
",NN," The number of the object of the sentence is ""this experience."""
"Buck patted the pistol inches from our heads .
",NNS," The number of the object of the sentence ""Buck patted the pistol inches from our heads"" is one."
"In her mind 's eye , Sean 's Collar gleamed on his throat like a white-hot band , the Celtic knot a tangle of bright energy .
",NN," The number of the object of the sentence is ""one."""
"Ed called everyone Kevin .
",NNS, There is no object in the sentence.
"I heard the sirens first .
",NNS," The subject of the sentence is ""I,"" so the object must be ""the sirens."""
"I zipped the pamphlets into my backpack and stepped into the hallway , thinking it was lucky I 'd kept that stupid elevator key after all .
",NNS," The number of the object of the sentence is ""one""."
"Mallory and I exchanged hugs .
",NNS, 1
"Jennifer shouldered a large platter and tacked on an artificial smile .
",NN," The number of the object of the sentence is ""one""."
"I had ignored her obvious attempts to ditch me .
",NNS, The number of the subject is singular.
"He pushed the notepad across the table .
",NN," The number of the object of the sentence ""He pushed the notepad across the table"" is singular."
""" Why don 't we just take the tape to the Principal ? ""
",NN," The number of the object of the sentence ""Why don't we just take the tape to the Principal?"" is ""we""."
"I skim down the page briefly before I begin reading .
",NN, There is no object in the sentence.
"Austin set up the speakers and docked his iPod .
",NNS," The number of the object of the sentence ""Austin set up the speakers and docked his iPod."" is singular."
"She stiffened her backbone and lifted her chin .
",NN, There is no object in the sentence.
"I explored the contents of the cupboard , but didn 't find anything that sounded good .
",NNS," The number of the object of the sentence is "" anything."""
"Hormones and sex appeal suck balls .
",NNS, There is no object in the sentence.
"She got the coke .
",NN," The number of the object of the sentence ""She got the coke."" is one."
""" I beg your pardon , Mademoiselle , she 's a Turk - she recently followed me to France , from Martinique . ""
",NN," The number of the object of the sentence is ""she."""
"Kai added more than enough milk to his , hesitating before he asked , "" Did you mean that ? ""
",NN," The number of the object of the sentence ""Kai added more than enough milk to his , hesitating before he asked , "" Did you mean that ? "" is 3."
"She nudged her horse several paces to one side and let out a sigh of relief .
",NNS, There is no object in the sentence.
"His arrow missed the wolves by a large margin .
",NNS," The number of the object of the sentence ""His arrow missed the wolves by a large margin."" is plural."
"Savannah found two candles .
",NNS," The number of the object of the sentence ""Savannah found two candles ."" is two."
"I think perhaps the latter because they would not have carried him down the stairs last night when he was bleeding .
",NN," ""The latter"" is referring to the two possible explanations, so it is not an object."
"If so , they risked capture by the Spanish , or murder by this or some other tribe on the way south or on the way back .
",NN," the number of the object of the sentence is ""this or some other tribe."""
"Henrietta gave a shrug , which was probably the wrong thing to do .
",NN," The number of the object of the sentence is ""which""."
"Otherwise you can run some errands for me , like picking up your prom dress . ""
",NNS," ""Prom dress"" is the object of the sentence."
"Gloria always had her best interests at heart .
",NNS, There is no number given for the object of the sentence.
"The creatures slammed into their blades and shields amidst a cacophony of screeches and guttural sounds unintended for men 's ears .
",NN," The number of the object of the sentence is ""a cacophony of screeches and guttural sounds unintended for men's ears."""
"We had families to worry about . ""
",NNS," The subject of the sentence is ""We,"" so the number of the object is plural."
"If you ran out on them and left them here , how could you look those little wobbly noses in the face again ? '
",NNS," The number of the object of the sentence is ""little wobbly noses."""
""" Two hundred dollars ? ""
",NNS," The number of the object of the sentence ""Two hundred dollars"" is two."
"We can 't take any chances . ""
",NNS," The number of the object of the sentence ""We can 't take any chances . ""
"" is singular."
"She probably doesn 't even need a bodyguard .
",NN," The number of the object of the sentence is ""bodyguard."""
"A few hundred yards through the woods he could see the frame of a barn under construction .
",NN," The number of the object of the sentence is ""a barn."""
"Then again , he was wearing a bulletproof vest .
",NN," ""Bulletproof vest"" is the object of the sentence."
"I hold an umbrella over three heads , fighting off the rain while the moisture brightens the old mounds of dirt , like a fresh dig .
",NN, The number of the object of the sentence is three.
""" I don 't hurt females .
",NNS, There is no number given for the object of the sentence.
"She loved jewelry and it had an assortment of jewelry inside .
",NN," The number of the object of the sentence ""She loved jewelry and it had an assortment of jewelry inside"" is ""plural""."
"He jerked the material over his head , baring his chest to her view .
",NN," The number of the object of the sentence is ""her."""
"NO NO NO NO NO NO NO .
",NN," There is no object in the sentence ""NO NO NO NO NO NO NO ."""
"I 'd drunk a soda and let it go at that .
",NN, There is no object in this sentence.
"He knew his duty .
",NN," The number of the object of the sentence ""He knew his duty"" is singular."
""" I have exactly one fifteen minute video . ""
",NN," The number of the object of the sentence ""I have exactly one fifteen minute video"" is one."
"Our EBT sheeple will out vote the opposition .
",NN," ""EBT sheeple"" is the number one object of the sentence."
"Money can buy people many items .
",NNS," The number of the object of the sentence ""Money can buy people many items."" is ""many."""
"You 're making excuses for her .
",NNS, The number of the object is singular.
"He 'd already put pints of blood and sweat into it , but he should be able to safely hand it over now .
",NNS," ""It"" is the number of the object of the sentence."
"I 've got eleven more to go . ""
",NNS, The number of the object in the sentence is eleven.
"Because you had a mental breakdown ? ""
",NN," The number of the object of the sentence is ""?""."
"We must set a good example . ""
",NN," There is no object in the sentence ""We must set a good example."""
"Mr. Skeeter turned the glare of disappointment on me and I shut up .
",NN," The number of the object of the sentence is ""I""."
"Do you accept the responsibility this task entails , and do you now swear to uphold our laws ?
",NN," The number of the object of the sentence is ""this task."""
""" I 'm sending you his info . ""
",NN," The number of the object of the sentence ""I 'm sending you his info ."" is ""1""."
"One of his men is regaining consciousness and is attempting to stand .
",NN," The subject of the sentence is ""one,"" so the number of the object is singular."
"We will not allow harm to come her way again . ""
",NN," ""Her"" is the object of the sentence."
"I felt my pulse quicken all the way to my fingertips as a million questions flooded my head .
",NN," The number of the object of the sentence ""I felt my pulse quicken all the way to my emails as a million questions flooded my head."" is one."
""" Activate all perimeter sensors . ""
",NNS," The subject of the sentence is ""sensors."""
"They shared unique powers , but those powers could never be blended .
",NNS," The number of the object of the sentence is ""powers""."
"He straightened her gown , then crossed the room , picked up a comforter from a divan , returned , and covered her with it .
",NN," There is no number specified for the object of the sentence, so it is difficult to determine."
"Charlie honked his horn impatiently .
",NN," The number of the object of the sentence ""Charlie honked his horn impatiently .
"" is singular."
"' They sign a pledge not to touch alcohol .
",NN," The number of the object of the sentence ""' They sign a pledge not to touch alcohol .
"" is singular."
"His dark hair looked artificial , like something penned in with a Magic Marker .
",NN, The number of the object of the sentence is one.
"Bob whittled a scale into the branch .
",NN," The number of the object of the sentence ""Bob whittled a scale into the branch"" is singular."
"Applying pressure , I worked my thumbs up the muscles of his spine .
",NNS," The number of the object of the sentence is ""one."""
"He found no batteries , but two foil wrapped cereal bars looked to be in relatively good condition , so he tucked them into his pocket .
",NNS, two
"The very strength of the British fleet left the ships on the blockade in strangely isolated circumstances .
",NNS," The number of the object of the sentence is ""strangely isolated circumstances."""
"I pushed aside my growing unease .
",NN," The number of the object of the sentence is ""I""."
"His magic had chosen the method .
",NN," The number of the object of the sentence ""His magic had chosen the method"" is singular."
"The little boy , Hanif , is shooting daggers at me with his eyes -- all of us actually .
",NNS," The number of the object of the sentence ""The little boy , Hanif , is shooting daggers at me with his eyes -- all of us actually ."" is ""all."""
"Who would he share his secrets with when she was gone ?
",NNS," The number of the object of the sentence ""Who would he share his secrets with when she was gone ?"" is singular."
""" On the other hand , he 'd dropped his steak into the fire , so I 'd had to split mine with him .
",NN," The number of the object of the sentence is ""one""."
"Once he had fought the invisible ties that bound him .
",NNS," The number of the object of the sentence is ""one."""
"A tremor of dread rippled down Julia 's spine .
",NN, 1
"We could then start ruling together .
",NN," The number of the object of the sentence ""We could then start ruling together"" is singular."
""" I had a hunch that was what was going on . ""
",NN," The number of the object of the sentence ""I had a hunch that was what was going on."" is one."
"He was wearing brown slacks and a tan button-down shirt , with wool slippers .
",NNS, The number of the object of the sentence is 3.
"She could use her healing gifts enough to help .
",NNS," The number of the object of the sentence ""She could use her healing gifts enough to help."" is singular."
"Trick smiles and his eyes hold no humor , just dead blackness , like a shark 's .
",NN," The number of the object of the sentence is ""a shark's."""
"I put him in a couple of deals for peanuts and made him over one hundred thousand dollars . ""
",NNS," The number of the object of the sentence ""I put him in a couple of deals for peanuts and made him over one hundred thousand dollars."" is ""one."""
"He had felt an initial terror and an urge to run for cover .
",NN," The number of the object of the sentence ""He had felt an initial terror and an urge to run for cover ."" is singular."
"Shaken , he redoubled his efforts to concentrate .
",NNS," The number of the object of the sentence is ""two""."
"I didn 't want the devils to come for me and the site of losing my whole family still stung me .
",NNS," The number of the object of the sentence is ""one."""
"Might as well do the furniture too , for he had taken over the existing furniture when he bought the home .
",NN," The number of the object of the sentence is ""too""."
""" How many other sisters do you have , again ? ""
",NNS, 4
""" So you have fangs ?
",NNS," The number of the object of the sentence ""So you have fangs?"" is one."
"She 's kept up her version of the villainous Andrade clan when Nick only remembered them warmly welcoming him .
",NN, There is no object in the sentence.
""" I never take clients along on a verification trip .
",NNS," The number of the object of the sentence ""I never take clients along on a verification trip."" is ""zero."""
"Eli put down his hot chocolate .
",NN," The number of the object of the sentence ""Eli put down his hot chocolate ."" is one."
""" If I give the order to get out , I don 't want any arguments . ""
",NNS," The number of the object of the sentence is ""one""."
"At state , we usually have two relay teams , the main team and subs .
",NNS, There is no object in the sentence.
"She just didn 't want her record producing boyfriend to see the evidence of her betrayal .
",NN," The number of the object of the sentence ""She just didn 't want her record producing boyfriend to see the evidence of her betrayal .
"" is one."
""" The next time you feel like getting upset and yelling at the entire council , do us all a favor ? ""
",NN," The number of the object of the sentence ""The next time you feel like getting upset and yelling at the entire council, do us all a favor?"" is ""us""."
"He knocked two coins off the price if I gave him the Jeep for a week . ""
",NNS, two
"I gave a lopsided shrug .
",NN," The number of the object of the sentence ""I gave a lopsided shrug."" is singular."
"He took his wallet out of a pocket and retrieved a roll of notes .
",NN," The number of the object of the sentence is ""roll."""
"They all have a personality .
",NN," The number of the object of the sentence ""They all have a personality"" is singular."
"I made vague regretful noises so that Lillian would continue .
",NNS, There is no object in the sentence.
"The more you rise in life , more you lose the freedom to operate .
",NN," The number of the object of the sentence ""The more you rise in life , more you lose the freedom to operate ."" is ""more."""
"You have ripped the lid off the powder keg .
",NN, There is no direct object in this sentence.
"Savannah let out another breathy moan and he thought his heart stopped .
",NN," The number of the object of the sentence is ""another""."
"You cook his meals , clean his home , give him regular sex that makes him easier to deal with .
",NNS," The number of the object of the sentence is ""regular sex."""
"Judge hadn 't experience joy in his life for decades .
",NN," The number of the object of the sentence ""Judge hadn 't experience joy in his life for decades .
"" is singular."
"Rina , who lacked artifice and possessed extraordinary depth offered him many layers to uncover and revel in .
",NNS," The object of the sentence is ""layers."""
"With so much powerful opposition , I don 't give good odds on their success .
",NNS," The number of the object of the sentence is ""their."""
"How else could I explain his powers ?
",NNS," The number of the object of the sentence ""How else could I explain his powers ?"" is singular."
"Jon had no other directions to follow so he turned the machine to the vector KT pointed too .
",NNS," The number of the object of the sentence ""Jon had no other directions to follow so he turned the machine to the vector KT pointed too."" is ""one""."
"The mingled gray and silver lifelines decorated the landscape like tinsel on a Christmas tree .
",NN," The number of the object of the sentence is ""tinsel."""
"Like the chunks of cleanser in the shower . ""
",NNS, There is no object in the sentence.
"Claire reared back , her black bob swinging .
",NN," There is no clear subject in this sentence, so it is difficult to determine what the number of the object is."
"I want his cock inside me .
",NN," The number of the object of the sentence ""I want his cock inside me"" is singular."
"It was definitely covering its tracks .
",NNS, There is no object in this sentence.
"His blue eyes held an intelligence that indicated that he was not easily taken in by falsehoods .
",NN," The number of the subject of the sentence is ""one""--indicated by ""His."""
"Alcoa needs tin and bauxite and copper .
",NN, There is no number listed for the object of the sentence.
"You , Uncle Karol , will teach your classes tomorrow .
",NNS," The subject of the sentence is ""You."""
"She rubbed its hardness on her cheeks , and she allowed her lips to glide over the soft wrinkled skin of his scrotum .
",NNS," She is the subject and its is the possessive pronoun referring to the object, which is the number one."
"You take some deep breaths and calm down . ""
",NNS," The number of the object of the sentence ""You take some deep breaths and calm down . "" is ""some deep breaths."""
""" No , listen , "" he said , a knot of need tightening in his gut as her sweet scent stormed his senses .
",NNS," ""No, listen,"" he said, a knot of need tightening in his gut as her sweet scent stormed his senses.

The number of the object of this sentence is ""one."""
""" You could describe the Exclusive Brethren as an extremist splinter group from them .
",NNS," The number of the object of the sentence is ""them""."
""" I mean umm ... hi !
",NN, There is no object in the sentence.
"I know the lesson for the day .
",NN," The number of the object of the sentence ""I know the lesson for the day"" is singular."
"Gathering her up in his arms , he lifted her thighs around his waist and drove home in one deep thrust .
",NNS, The number of the object of the sentence is one.
"Stopping at a vendors stall , Scarborough bought a banana which she shared with her husband in a rare moment of generosity .
",NN, 1
"I followed his advice almost to the letter because I was so grateful for what he had done for me .
",NN," The number of the object of the sentence is ""I""."
"I relayed the elements of the toxin to Aidan .
",NNS, There is no object in the sentence.
"Most don 't have powers .
",NNS," The number of the object of the sentence ""Most don 't have powers .
"" is singular."
"Overhead , the wind chased the clouds across the darkening sky .
",NNS," The number of the object of the sentence ""Overhead , the wind chased the clouds across the darkening sky ."" is ""the clouds""."
"I aint pain ya to run a social club , ' he shouted , his voice was coarse and guttural .
",NNS," ""I"""
"He dismissed that possibility accordingly .
",NN," He dismissed that possibility accordingly .

There is no object in this sentence."
"She took a towel and covered herself with it .
",NN," The number of the object of the sentence ""She took a towel and covered herself with it"" is one."
"Just when Alix was drifting back to sleep , she heard a loud moan , as if Laurel was in horrible pain .
",NN," The number of the object of the sentence is ""one."""
"Jane couldn 't suppress the yawn .
",NN," The number of the object of the sentence ""Jane couldn 't suppress the yawn .
"" is singular."
"He has no male peers in his life .
",NNS," The number of the subject of the sentence is ""he""."
"I didn 't need her pity .
",NN," The number of the object of the sentence ""I didn't need her pity."" is singular."
"Lily made the necessary introductions , marveling at how Mr. Dolan , too , seemed inordinately eager to make Janey 's acquaintance .
",NNS," The number of the object of the sentence is ""one."""
""" All those who live here take their obligations seriously . ""
",NNS," The number of the object of the sentence ""All those who live here take their obligations seriously."" is singular."
"She placed her palms on the glass .
",NNS," The number of the object of the sentence ""She placed her palms on the glass"" is plural."
"Heavy slabs of muscles layered his ribs , but his skin was too pale , and cold to the touch .
",NNS," The number of the object of the sentence is ""muscles."""
"He offered no denial about the fact that he 'd sneaked inside .
",NN," The number of the object of the sentence ""He offered no denial about the fact that he 'd sneaked inside .
"" is singular."
"The ambulance men bent down and with gentle , careful movements peeled back the patchwork quilt .
",NN, The number of the object of the sentence is singular.
"You want their minds .
",NNS, There is no object in the sentence.
"I was now navigating the quarry roads from the map .
",NNS, There is no object in the sentence.
"David Wise had been delivering babies for more than twenty years , and his calm reassurance had gone a long way toward relieving James 's fears .
",NNS," The number of the object of the sentence is ""twenty."""
""" You 're pleading less-than-perfect English skills to explain the inappropriateness of barking ' stay ' at me across the parking lot like that ? ""
",NNS," The number of the object of the sentence is ""9""."
"Her hands traveled down my backside as she dug her nails into my back , exciting me more than I already was .
",NN," The number of the object of the sentence is ""one."""
"She hadn 't put any restrictions or limitations on who or what kind of man she wanted to fulfill her needs .
",NNS," The number of the object of the sentence is ""She hadn't put any restrictions or limitations on who or what kind of man she wanted to fulfill her needs."""
""" Wow , I 've never met a real writer before .
",NN," ""writer"" is the object of the sentence."
"The cold bit like fangs during the night .
",NNS," The number of the object of the sentence ""The cold bit like fangs during the night"" is singular."
"Lavender unwound the chain from around the handcuffs and she was free to move around , albeit her left hand was still handcuffed .
",NN," The number of the object of the sentence ""Lavender unwound the chain from around the handcuffs and she was free to move around , albeit her left hand was still handcuffed ."" is ""she""."
