sentence,label,GPT3_response
""" Mr. Gray . ""
",PRES, The sentence is in the present tense.
"He invites me out of obligation , but I can 't go to him and his new wife .
",PRES, The tense of the sentence is past tense.
""" Ma , Simon loves the water and knows it better than any of us .
",PRES, The sentence is in the present tense.
""" Except when you don 't , "" Allegra persisted .
",PAST, The sentence is in the present tense.
"Here we are , Grandma announced , activating the left blinker and turning into the parking lot of King of the Road Auto Repair .
",PAST, The sentence is in the present tense.
"This whole mess with the police affects me and the baby . ""
",PRES, The sentence is in the present tense.
"A small silver disc holds the date we pledged our love for each other .
",PRES," The tense of the sentence ""A small silver disc holds the date we pledged our love for each other"" is past tense."
"The lights of the Riverview Inn glowed in the distance .
",PAST, The sentence is in the present tense.
"The dew soaked through his shirt .
",PAST, The sentence is in the past tense.
"His hand slides out of mine as he says , "" Sorry . ""
",PRES," The tense of the sentence ""His hand slides out of mine as he says , "" Sorry . ""
"" is present tense."
"The flash bewildered her .
",PRES, The sentence is in the past tense.
"I paid the driver , and then as carefully as I could , maneuvered her out of the cab .
",PAST, The sentence is in past tense.
"She trusted Byron where she might not have any other .
",PAST," The tense of the sentence ""She trusted Byron where she might not have any other"" is present tense."
"The wolf padded out the door .
",PRES, The sentence is in the past tense.
"Black Mist only uses them to clear the way for their own purposes . ""
",PRES," The tense of the sentence ""Black Mist only uses them to clear the way for their own purposes."" is present tense."
"I clasped a hand over my mouth , stifling the gasp that rose in my throat .
",PAST," The tense of the sentence ""I clasped a hand over my mouth , stifling the gasp that rose in my throat ."" is present tense."
"We need to get as many people off this rock as possible , "" he responds .
",PRES," The tense of the sentence ""We need to get as many people off this rock as possible , "" he responds . "" is present tense."
"He wonders how quickly this vast and total deprivation will drive him crazy .
",PRES, The sentence is in the present tense.
"I know you want to watch something macho like American Chopper or LA Ink , "" I joked .
",PAST," The tense of the sentence ""I know you want to watch something macho like American Chopper or LA Ink , "" I joked . "" is past tense."
""" I learnt to play the role expected of me .
",PAST," The tense of the sentence """" I learnt to play the role expected of me .
"" is past tense."
"You dreamed this voice . ""
",PAST," The tense of the sentence ""You dreamed this voice."" is simple past."
"Faded spades shone on the brick storefront of Greensleeves Tobacco Emporium .
",PRES, The sentence is in the past tense.
"She talks too much , Max interrupted inside my head , his irritation evident .
",PRES, The tense of the sentence is past tense.
"Morley eyed her with a bit of a frown .
",PAST, The sentence is in the present tense.
""" What manner of curse permits you to master stone without being a gargoyle ? ""
",PRES, The tense of this sentence is present tense.
"She remembered that cool detachment from their youth , the icy ruthlessness that had lured women and reckless gamblers alike .
",PRES, The sentence is in the past tense.
"Gregori 's silver eyes dwelt on her slender figure .
",PRES," The tense of the sentence ""Gregori 's silver eyes dwelt on her slender figure ."" is present tense."
"When I lift my eyes to look at him , my heart falls to my feet .
",PRES, The sentence is in the present tense.
"The captain squared his shoulders .
",PAST, The sentence is in the past tense.
"Despite my early feeling regarding him , reason returns .
",PRES," The tense of the sentence ""Despite my early feeling regarding him , reason returns"" is present tense."
""" Her fiancé . ""
",PRES," The sentence is incomplete, so it is difficult to say what the tense is."
"The three of you represent three options , or he can do whatever the fuck he wants with it .
",PRES, The sentence is in the present tense.
"He loves the seclusion of this island .
",PRES, The sentence is in the present tense.
"He strokes a hand down the back of my head .
",PRES, The sentence is in the present tense.
"Mom sighs loudly and we all look at her .
",PRES, The sentence is in the present tense.
"He primarily sells his paintings in his own gallery on the Sunset Strip , nestled between all the famous nightclubs .
",PRES, The sentence is in the present tense.
"He stops pacing and turns toward me .
",PRES," The tense of the sentence ""He stops pacing and turns toward me"" is present tense."
"He mutters , pushing us along .
",PRES, The sentence is in the present tense.
"I lean over to pick it up between the moving legs and feet .
",PRES, The sentence is in the present tense.
"His warm breath tickled her cheek .
",PAST, The sentence is in the present tense.
""" Can you describe it ? ""
",PRES, The tense of the sentence is unknown.
"Shaking her head , she scooted to the opposite side of the mattress .
",PAST, The sentence is in the past tense.
"the gas tank exploded .
",PAST, The sentence is in the past tense.
""" An evil light shone in the Queen 's eye .
",PRES, The sentence is in the past tense.
"Claude eyed me for a long moment , then nodded .
",PAST," The tense of the sentence ""Claude eyed me for a long moment , then nodded ."" is present tense."
"I rotated my left foot around in a circular motion .
",PAST, The tense of the sentence is present tense.
""" But Sire -- all your work ... "" "" Counts for naught now . ""
",PRES, The tense of the sentence is present tense.
"Her body moving restlessly , she inched toward him until she was rubbing against him , her body plastered against his entire front .
",PAST, The sentence is in the present tense.
"Her smile shone across her face . '
",PRES," The tense of the sentence ""Her smile shone across her face."" is past tense."
""" That Doug and I were making out or something . ""
",PRES, The sentence is in the past tense.
"Kylie 's phone beeped , announcing she had messages .
",PAST, The tense of the sentence is present tense.
""" Holy fuck . ""
",PRES, The sentence is in present tense.
"A signal to all other creatures , to stay away or be killed .
",PRES," The tense of the sentence ""A signal to all other creatures , to stay away or be killed ."" is present tense."
"Violetta reaches out with her energy at the same time I reach out with mine .
",PRES," The tense of the sentence ""Violetta reaches out with her energy at the same time I reach out with mine"" is present tense."
"I scramble towards him , duck down and crawl under his bed .
",PRES, The tense of the sentence is present.
""" He loves you too much . ""
",PRES, The sentence is in the present tense.
"This earned him a respect from the rough Vikings that all his knowledge could not .
",PAST, The tense of the sentence is past tense.
"Well , I lied . ""
",PAST, The sentence is in the present tense.
"Realm looks defeated , and finally nods .
",PAST, The sentence is in the past tense.
"A look around the foyer revealed narrow corridors , clean but rather unremarkable .
",PAST, The sentence is in the past tense.
"The heavy rain that pelted their foil dimmed what little light seeped through the single uncovered port .
",PAST, The sentence is in the past tense.
""" That way madness lies .
",PRES, The tense of the sentence is present tense.
"Raffaele winces as the sword digs into the flesh of his neck .
",PRES, The sentence is in the present tense.
""" Make it quick Wallace and don 't say anything about where you are . ""
",PRES, The tense of the sentence is present tense.
"First , that she was pregnant , unmarried and destined to become the most scandalous member of her notorious family .
",PRES, The tense of the sentence is present perfect.
"And then , stone by stone , it illuminated the great shrine until it passed through the flying arches at its feet .
",PAST, The sentence is in the past tense.
"His eyes roamed my face .
",PAST," The tense of the sentence ""His eyes roamed my face"" is present tense."
"Michael collected her and held her and she sank , crying , against his chest .
",PAST, The sentence is in the past tense.
"She swore she could feel his hunger , feel his inner need to touch her .
",PAST," The tense of the sentence ""She swore she could feel his hunger , feel his inner need to touch her ."" is present tense."
"She sped up , leaping over a bent piece of metal , then dodging a piece of burning timber .
",PAST, The sentence is in the past tense.
"She falls to the floor .
",PRES, The sentence is in the present tense.
"Brigid visited twice before the wedding , stressed and anxious .
",PAST, The sentence is in the past tense.
"Are you alright ? ""
",PAST, The sentence is in the present tense.
"Kaspar yanked me to his side , hugging me close but I hardly noticed .
",PAST, The sentence is in the past tense.
"She yanked her eyes open .
",PAST," The tense of the sentence ""She yanked her eyes open"" is present tense."
"She feared that their mission in La Salle was ending .
",PAST, The sentence is in the past tense.
""" And a set of prints we don 't have on record .
",PRES, The tense of the sentence is present tense.
"Wood floors , walls the color of fog and a narrow table boasting a cobalt vase stuffed with roses and hydrangeas greeted her .
",PAST," The tense of the sentence ""Wood floors , walls the color of fog and a narrow table boasting a cobalt vase stuffed with roses and hydrangeas greeted her ."" is present tense."
"She straightened her spine .
",PAST," The tense of the sentence ""She straightened her spine"" is present tense."
""" You don 't like this dress , after all , "" she teased .
",PRES, The tense of the sentence is present.
"All the projects there undergo strict ethical reviews of course .
",PRES, The sentence is in the present tense.
"He strikes at the First Lord now ? ""
",PRES," The tense of the sentence ""He strikes at the First Lord now"" is present tense."
"I clutched her hand and refused to let it go .
",PAST," The tense of the sentence ""I clutched her hand and refused to let it go"" is present tense."
"I scratch and claw , throw my knees at him , but nothing works .
",PRES, The sentence is in the present tense.
"Anne experienced a type of paralysis that seemed to freeze not only her body , but time itself .
",PAST, The tense of the sentence is past tense.
"Purity achieved , Arjuna negotiated yet another safe spot for his tee shot to land .
",PAST," The tense of the sentence ""Purity achieved , Arjuna negotiated yet another safe spot for his tee shot to land ."" is past tense."
""" You won 't get through to me , either , "" Ashe rumbled .
",PAST, The sentence is in the present tense.
"He adjusted the bandages covering the stitches on his right arm .
",PAST," The tense of the sentence ""He adjusted the bandages covering the stitches on his right arm"" is present tense."
"She brings her scooper down to the table and looks at me , obviously disappointed .
",PRES, The tense of the sentence is present tense.
"The continued visits where he had all but ignored her , treated her with a coldness he had not felt but which had nevertheless been necessary .
",PAST, The tense of the sentence is past perfect.
"The figure dove on its knees beside her .
",PAST, The sentence is in the past tense.
""" Her soul merely sleeps . ""
",PRES, The sentence is in the present tense.
"The woman moves toward me but I do not have the strength to move or even pick up my arms to push her away .
",PRES, The sentence is in the present tense.
"During that journey back to Cambridge , what had seemed like fullness , hollowed out .
",PAST, The tense of the sentence is past tense.
"Warm awareness seeped in and tingled through her body .
",PAST, The tense of the sentence is present tense.
""" Everybody loves a winner ! ""
",PRES, The sentence is in the present tense.
""" Run in place on the platforms , "" April advised .
",PAST, The tense of the sentence is present tense.
"Staring down at her hands , she pretended to be engrossed by her nails .
",PAST, The tense of the sentence is present.
""" She likes you ? ""
",PRES," The tense of the sentence ""She likes you"" is present tense."
""" And I would not want you to , "" he assured her gently , and she raised her eyes to meet his gaze .
",PAST, The tense of the sentence is present tense.
"Peter stormed over to him and demanded the film from his camera .
",PAST, The sentence is in the past tense.
"I slap the top of the barrel and squeeze the pin in one fluid motion .
",PRES," The tense of the sentence ""I slap the top of the barrel and squeeze the pin in one fluid motion."" is present tense."
"I exhale then frown with disappointment .
",PRES, The tense of the sentence is present.
"All the sly hints she 'd dropped that she was in Ashland to pay back her old friends and anyone else who 'd ever supposedly wronged her .
",PRES, The sentence is in the past tense.
"He just loves all your writings , and I seen him reading through them over and over every night .
",PRES, The tense of the sentence is incorrect.
"His thumb circled and teased one of her nipples until it was hard and begging for his mouth .
",PAST, The sentence is in present tense.
"She eyed him suspiciously .
",PAST," The tense of the sentence ""She eyed him suspiciously."" is present tense."
""" Tell me what that was , "" Shannon begged .
",PRES, The sentence is in the past tense.
""" Line cutter ! ""
",PRES," The sentence is in the imperative mood, which is used for commands and requests."
"A few people even bowed as they passed .
",PAST," The tense of the sentence ""A few people even bowed as they passed."" is simple past."
"Parker and Faye stood up from behind the table when Savannah said , "" Ouch "" "" Savannah ? ""
",PRES, The tense of the sentence is past tense.
"Silence engulfed the salon .
",PAST," The tense of the sentence ""Silence engulfed the salon"" is past tense."
""" Helping ye to undress , son . ""
",PRES, The tense of the sentence is present.
"She joked , ' People will think you 're tax inspectors , or maybe Vernon 's pools ? '
",PAST, The sentence is in the past tense.
"They sound a little far fetched today - now that everything in our world is explained by science and mathematics .
",PAST, The tense of the sentence is present.
"The pedestal blocked a gunshot aimed at the girls .
",PAST, The sentence is in the past tense.
"The dogs suddenly quieted again .
",PAST, The sentence is in the past tense.
"Tessa tensed all over .
",PAST, The sentence is in the present tense.
"Upstream from everyone , the Wanderer arose from the river .
",PAST, The tense of this sentence is past tense.
"My eyes widen as I taste myself on his lips and he pushes his tongue inside me with abandon .
",PRES, The tense of the sentence is present tense.
"Desperate cries wrought the air , ' Ye canna do this ?
",PAST, The tense of the sentence is past.
""" You 've got to be kidding , "" Mary slapped her playfully .
",PAST, The sentence is in the present tense.
""" How cliche , little partner .
",PAST," The tense of the sentence ""How cliche, little partner."" is present tense."
"Bowing his head , he prayed to get his patience back .
",PAST," The tense of the sentence ""Bowing his head , he prayed to get his patience back ."" is past tense."
""" I think he might know of a cure , "" Aiden points out .
",PRES," The tense of the sentence ""I think he might know of a cure, Aiden points out."" is present tense."
"Brooke just shrugs again .
",PRES," The tense of the sentence ""Brooke just shrugs again."" is present tense."
"The smell of burnt flesh violated the air as Emilio 's hand was ruthlessly burned .
",PAST, The tense of the sentence is present perfect.
"I fold my arms across my stomach .
",PRES, The sentence is in the present tense.
""" Your doctor , "" he gritted out .
",PAST, The sentence is in present tense.
"We attempted to carry her into the cabin , but as soon as she had quitted the fresh air she fainted .
",PAST," The tense of the sentence ""We attempted to carry her into the cabin , but as soon as she had quitted the fresh air she fainted ."" is past tense."
"He dared not hope she could ever learn to love him again , learn to trust him again .
",PAST, The tense of the sentence is past.
"I pretended to mull it over .
",PAST, The sentence is in the past tense.
"Callie lets go of my waist .
",PRES," The tense of the sentence ""Callie lets go of my waist."" is present tense."
"Maddie stowed her precious gift on the floor and hugged her back .
",PAST, The tense of the sentence is past tense.
""" Were you eavesdropping on us ? ""
",PRES, The sentence is in the past tense.
"I swing around a jogger stretching near a tree .
",PRES, The sentence is in the present tense.
"Adam sighs , rolls his eyes dramatically .
",PRES," The tense of the sentence ""Adam sighs , rolls his eyes dramatically ."" is present tense."
"In his rush to pick up the ball , he loses control of it and it bounces away .
",PRES, The tense of the sentence is present tense.
""" Sal -- "" "" Help me . ""
",PRES, The tense of the sentence is present.
"I wipe the sweat from my forehead .
",PRES, The sentence is in the present tense.
""" So they threaten to show the tape to the righteous Reverend Hammond .
",PRES, The sentence is in the present tense.
"Jolie reaches out for Pat 's mobile .
",PRES," The tense of the sentence ""Jolie reaches out for Pat 's mobile ."" is present tense."
"Trees as tall as a man arose around him , before the wall .
",PAST, The sentence is in the present tense.
"Fear lanced through her so sharply and completely that she felt a sudden tingling in every part of her body .
",PAST, The tense of the sentence is past tense.
""" Very , "" she breathes out .
",PRES, Present tense
"Fin flicked his hand in the direction of a long pole and set fire to the box with wires stretching from it .
",PAST, The sentence is in the past tense.
"He clasped his palms together and stared at me like he had at the car earlier ; he gazed right through me .
",PAST, The tense of the sentence is present perfect.
"She fisted her hands and battered me weakly , her nails drawing thin trails of blood .
",PRES, The sentence is in the past tense.
"She flicked through images and videos , seeing within the suit 's files all that Daniel had said but still she was doubtful .
",PAST, The tense of the sentence is present perfect.
"He recognizes me immediately and his face drains of color .
",PRES, The tense of the sentence is present tense.
"She lied to me , so I 'm hurt .
",PAST, The tense of the sentence is present perfect.
""" Rachel , this is my friend , Abby .
",PRES, The tense of the sentence is present tense.
"I just never dreamed they would do something like confront you in a bathroom .
",PAST, This sentence is in the past tense.
""" And you Coach . ""
",PRES, The tense of the sentence is unknown.
"She winks at him and then comes back out with ... "" "" Soup laced with the hottest hot sauce you 've ever tasted ? ""
",PRES, The sentence is in the present tense.
"A bed and a good meal await us there . ""
",PRES, The sentence is in the present tense.
"Archie urged Samuel on to stay .
",PAST," The tense of the sentence ""Archie urged Samuel on to stay."" is present tense."
"No use , it snaps under the weight of my body .
",PRES, The sentence is in the present tense.
"Meeting his eyes , I add in a quiet voice , "" It hurts me . ""
",PRES," The tense of the sentence ""Meeting his eyes , I add in a quiet voice , "" It hurts me . ""
"" is present tense."
"Easily sensing his pleasure , Shay teasingly circled the nipple until it hardened in reaction .
",PAST, The tense of the sentence is present tense.
"He drops his eyes to my lips where his thumb is still stroking them .
",PRES, The sentence is in the present tense.
""" Almost as if something is physically surrounding you .
",PRES, The tense of the sentence is present tense.
"No , no , no , she begged .
",PRES, The tense of the sentence is present tense.
"As soon as she gets the last one , I spring upright and scramble over to where Alex is lying on the floor .
",PRES, The tense of the sentence is past.
""" You know exactly what we mean , "" Deb chimed in .
",PAST, The sentence is in the present tense.
""" It is time , "" a man announced .
",PAST, The tense of the sentence is present.
"Toni thanked the doctor as he walked out the door to finish his rounds .
",PAST, The tense of the sentence is past.
""" I want it to work ; therefore it will , "" he stated firmly .
",PAST, The tense of the sentence is future tense.
""" Officially they chalked it up to an interrupted burglary , but as I recall there were a lot of rumors going around .
",PAST, The tense of the sentence is past tense.
"Narrowing his eyes on the book , Nick slapped at his back pockets to see if the book in Grim 's hand was a duplicate .
",PAST, The sentence is in the present tense.
""" Late seventeenth century . ""
",PRES, The tense of the sentence is present perfect.
"Of course , everyone 's dressed in the Tudor style , with puffed up , layered sleeves .
",PAST," The tense of the sentence ""Of course , everyone 's dressed in the Tudor style , with puffed up , layered sleeves ."" is present tense."
"Trevor collected their coats and waited patiently while she ran around making sure everything was cleared away properly and that nothing was left undone .
",PAST, The tense of the sentence is past.
""" Never trusted either one of those shuck traitors . ""
",PAST, The tense of the sentence is past tense.
"With practiced skill , she adjusted the flame .
",PAST, The tense of the sentence is present tense.
"The bright lights seared my eyes for all of a minute , but by then my escorts had shut the door on the cell .
",PAST, The sentence is in the past tense.
""" Ralph Lauren ? ""
",PRES, The sentence is in the present tense.
"She deposited it on the side table with a frown .
",PAST, The sentence is in the past tense.
""" Eggs cost twice as much without the household ration coupon , "" Kowalski countered .
",PAST, The tense of the sentence is present tense.
"The ship rumbles , and I feel the pilot working with the thrusters to bring us off the ground .
",PRES, The tense of the sentence is present tense.
"But Jared 's attention never strayed .
",PAST," The tense of the sentence ""But Jared 's attention never strayed ."" is present perfect."
"I asked skeptically , my heart still pounding in my chest .
",PRES, The sentence is in past tense.
"Skyla glances past my shoulder before meeting my gaze .
",PRES, The tense of the sentence is past.
"He stretches and stands up , putting his hands on my waist and hoisting me up .
",PRES, The sentence is written in present tense.
"A lone warrior , grizzled with age , and carrying his spear with its head downward in token of peace , advanced from the main horde .
",PAST, The tense of the sentence is past tense.
""" I suspect they "" ve been delayed by matters of great importance . ""
",PRES, The tense of the sentence is present perfect.
"Then he withdrew it and left her hand enclosing nothing and he said , "" Remember the Hard Ones , Dua .
",PAST, The sentence is in the past tense.
"They patted themselves , checking pockets , sleeves , pant legs , as they made sure the weapons they had were secured .
",PAST, The tense of the sentence is past tense.
"He motioned her toward the elevator and scanned his security card .
",PAST," The tense of the sentence ""He motioned her toward the elevator and scanned his security card"" is present tense."
"He pinched her cl * t again then slowly moved his fingers back into her cunt .
",PAST, The sentence is in the past tense.
"When my fingers roll over my clit , my head falls back on his shoulder , my mouth finds his , and then I explode .
",PRES, The sentence is in the present tense.
"He flicked her clitoris with his stiffened tongue and she lifted to his mouth , seeking more .
",PAST, The tense of the sentence is present tense.
""" And what borders the Pacific Ocean ? ""
",PRES, The sentence is in the present tense.
"Pearl 's voice floated out , "" What was that you said about never seeing another Flamingo Sweet ? ""
",PAST," The tense of the sentence ""Pearl 's voice floated out , "" What was that you said about never seeing another Flamingo Sweet ?"" is past tense."
"Everyone escaped , fortunately , but the inn was a loss .
",PAST," The tense of the sentence ""Everyone escapes , fortunately , but the inn was a loss ."" is past tense."
"the man exclaimed in a Northern accent .
",PAST," The tense of the sentence ""the man exclaimed in a Northern accent"" is present tense."
"' Knowing him , he blames himself ! '
",PRES," The tense of the sentence ""' Knowing him , he blames himself ! '"" is present tense."
""" She told me to wait , so I did , "" the girl whispers .
",PRES," The tense of the sentence "" She told me to wait , so I did , "" the girl whispers . "" is past tense."
"He stops short and turns to face me .
",PRES," The tense of the sentence ""He stops short and turns to face me"" is present tense."
""" That phrase applies to so many things at the moment that I 'm not sure which you 're referring to in particular . ""
",PRES, The sentence is in the present tense.
"Damon sat very stil and watched her go , his eyes hooded .
",PAST, The tense of the sentence is past tense.
"Low and musical , it slides against my skin , stirring the energy just behind my lungs that makes me what I am .
",PRES, The sentence is written in present tense.
""" Plane crash . ""
",PRES, The sentence is in the present tense.
"She flinches from the sharpness in my tone but continues to smile .
",PRES, The sentence is in the present tense.
