sentence,label,GPT3_response
"My neighbor on the right is fighting with his wife over the phone , and my newest one , the woman on the left , is hungry .
",NN," The subject of the sentence is ""My neighbor on the right."""
"The pirates fired shots at his chest , or else spent their energy chopping at his legs .
",NNS," The subject of the sentence is ""The pirates."""
"What had that ghoul infected her with ?
",NN," The number of the subject of the sentence ""What had that ghoul infected her with ?"" is ""that ghoul."""
"Only Americans and people who didn 't care about coffee went there .
",NNS," The number of the subject of the sentence is ""Only Americans and people who didn't care about coffee."""
""" Those bikes are going to need a lot of help before they 'll run again . ""
",NNS, Bikes
"The rustling of clothes brought his attention back to the present as Dee sorted through the box .
",NN," The number of the subject of the sentence ""The rustling of clothes brought his attention back to the present as Dee sorted through the box .
"" is ""The rustling of clothes."""
"A scuffling and a thump sounded from above .
",NN, There is no subject in this sentence.
"While these minions of evil may try their hand at destroying you , the Master is not powerless in your defense . ""
",NN, the Master
"A third spider hit her .
",NN," The subject of the sentence is ""A third spider."""
"My teammates cheered , and I was surprised to find myself laughing .
",NNS," The number of the subject of the sentence ""My teammates cheered , and I was surprised to find myself laughing ."" is 1."
""" I forbid it , "" said his grandfather .
",NN," The number of the subject of the sentence is ""I""."
"Their mothers had been sisters .
",NNS," The number of the subject of the sentence is ""their."""
"A low growl escaped him as Julian 's hand seized hold of his shoulder , trying to pull him back .
",NN," The number of the subject of the sentence is ""A low growl."""
"What were the ghosts going to do ?
",NNS," The number of the subject of the sentence ""What were the ghosts going to do?"" is plural."
"Again there was a quick exchange of glances between the members of my family .
",NN, There is no subject in the sentence.
"My grandparents took good care of me .
",NNS," the subject of the sentence is ""My grandparents."""
"Those items are crucial to us . ""
",NNS," The subject of the sentence is ""items."""
"There were high racks of camouflage gear in every conceivable shade of green and brown , in sizes down to infant sleepers .
",NNS," The number of the subject of the sentence is ""There""."
"His foe was a large barbarian named Ulrich , who was nearly seven feet tall and had muscles the size of mountains .
",NN," The subject of the sentence is ""His foe."""
"There were chains bolted to the wall .
",NNS," The subject of the sentence is ""There."""
"Jared 's jaws fluttered .
",NNS, Jared is the subject of the sentence.
"What 's the latest Pam ? ""
",NN," The subject of the sentence is ""Pam."""
"Others thought her cruel , but sometimes necessity could wear no other face .
",NNS," The subject of the sentence is ""Others."""
"The bits of wood and tinder I have gathered are dry now , I discover upon getting out , and I set about making a fire .
",NNS," The subject of the sentence is ""I."""
"But in a tightly packed theater with only a thousand seats , five or six rowdy fans booing heartily sounded like a hundred .
",NNS," The number of the subject of the sentence ""But in a tightly packed theater with only a thousand seats , five or six rowdy fans booing heartily sounded like a hundred .
"" is five or six."
"There was some uncertainty in his deep blue eyes although his face was still friendly and looked surprised .
",NN," The number of the subject of the sentence is ""There""."
"While businesses struggled to begin again ; thousands even committed suicide as an expression of their shame and hopelessness , for years to come .
",NNS," The number of the subject of the sentence is ""thousands."""
"A lilting script declared "" General Benjamin W. Jones and Mrs. Adele Langley Jones , with their daughter Beverly , 1868 . ""
",NN," The number of the subject of the sentence ""A lilting script declared "" General Benjamin W. Jones and Mrs. Adele Langley Jones , with their daughter Beverly , 1868 . ""
"" is three."
"And the release , oh gods , it would be so good .
",NN," The number of the subject of the sentence ""And the release , oh gods , it would be so good ."" is ""it."""
"Almost all creatures were , give or take a few organs .
",NNS," The number of the subject of the sentence is ""Almost all creatures."""
"Bottles and boxes lay in the aisles .
",NNS," The subject of the sentence is ""bottles and boxes."""
"The slab my parents had been on is now empty .
",NN," The subject of the sentence is ""The slab."""
"All the kindness he 'd shown her .
",NN, He is the subject of the sentence.
""" What resources yeh talkin ' about ? ""
",NNS, The number of the subject of the sentence is unknown.
"And a bowl of milk for them , too , "" she added as the maid set the gown down and moved to leave the room .
",NN," The number of the subject of the sentence is ""she""."
"Words , of course , that brought his brow dropping low once more so that he scowled all over again .
",NNS, Words
"cried the spider as everyone obeyed .
",NN, There is no subject in the sentence.
"At 2,750 degrees , stainless steel within the buildings will melt .
",NN," The number of the subject of the sentence is ""2,750 degrees."""
"When Jonas had finally gone out to tell him that he had a grandson , Emerson 's roar of approval had shaken the building .
",NN," The number of the subject of the sentence is ""1""."
"The magician has to concentrate very hard to keep his demon from turning on him .
",NN," The subject of the sentence is ""The magician."""
"The military environment and routine wrapped itself around him with relaxing familiarity , while Paige stiffened more with every second back in the sunny South .
",NN," The number of the subject of the sentence is ""The military environment and routine."""
""" And the gas and the brakes , "" I say out loud .
",NN," The subject of the sentence is ""I""."
"The senatorial committee has been collecting documentation for months now .
",NN," The number of the subject of the sentence ""The senatorial committee has been collecting documentation for months now"" is ""The senatorial committee."""
"A pale , bluish scar ran down his ribs , making her wonder what had happened .
",NN, There is no subject in this sentence.
"The family 's neighbor became my first Luna .
",NN," The number of the subject of the sentence ""The family 's neighbor became my first Luna ."" is ""one""."
"Henry texts back : Carter got trashed and made out with freshman from lunch .
",NNS, The number of the subject of the sentence is Henry.
"The vine creaked and snapped .
",NN, There is no subject in this sentence.
"This insanity stops here , now . ""
",NN, There isn't a subject in that sentence.
"On the way up , my breasts brushed his chest , and he hauled me against him .
",NNS, 1
"A chill ran through my spine and down to my toes , tingling as though I 'd sat on them for too long .
",NN," The number of the subject of the sentence is ""A."""
"The agony in his expression kills me .
",NN, There is no subject in the sentence.
"Our mornings together were beginning to have the comfort of routine .
",NNS, Our is the subject of the sentence.
""" What was the route ? ""
",NN," The subject of the sentence is ""route."""
"Things will be different now .
",NNS, Things is the subject of the sentence.
"Lots of people can do some magic if the situation is right , but only a few are born with full magical powers . ""
",NNS," The subject of the sentence is ""a few."""
"Next to the grounding peace of the garden , the serene tranquility of her library served as her favorite sanctuary .
",NN, Library
"The publisher felt it would make the whole thing look more serious .
",NN, The publisher is the subject of the sentence.
"There were some serious fireworks hidden inside Brielle , and she 'd just ignited his curiosity - and that wasn 't all she 'd ignited .
",NNS," The number of the subject of the sentence is ""She""."
"The black hearted vultures were spiralling around , sinking their beaks into what had once been his vessel of life in this world .
",NNS," The subject of the sentence is ""The black hearted vultures."""
"The boom ricocheted around the room , the bullet embedding itself in the far wall .
",NN," The subject of the sentence is ""The boom."""
""" The sheriff and judge were talking about you .
",NN," The subject of the sentence is ""The sheriff and judge."""
"The lab tech stops me before I can go on .
",NN," The subject of the sentence is ""The lab tech."""
"The blue-eyed cowboy shook his head .
",NN," The subject is ""The blue-eyed cowboy."""
"Nearly all users ( 87 % ) answered far more than the required two questions .
",NNS," The number of the subject of the sentence is ""87%""."
"Looks like you need a good meal and a warm bed with no more repairs for today .
",NNS," The number of the subject is ""one."""
"The Jeep slipped a bit as he backed out of the parking space , making her pulse skip .
",NN," The number of the subject of the sentence ""The Jeep slipped a bit as he backed out of the parking space , making her pulse skip ."" is ""The Jeep""."
"There were still some ghosts she apparently hadn 't exorcised .
",NNS," The subject of the sentence is ""There."""
"Things were so much easier for the young these days than in her time , Chicky thought .
",NNS," The subject of the sentence is ""Things."""
"The beast tensed , drew up his shoulders , and crooked his arms .
",NN," The subject of the sentence is ""The beast."""
"And spies are everywhere .
",NNS," The subject of this sentence is ""spies."""
"Soldiers are lining up before me .
",NNS, 1
"A sharp tap on the window woke me up a little later .
",NN," The number of the subject of the sentence is ""1""."
"Every canyon and glacier and sandy shore .
",NN, Every canyon and glacier and sandy shore is the subject of the sentence.
"Words , at least the kind that were spoken on land , had no meaning there .
",NNS," The subject of the sentence is ""Words."""
"There were no overhead light fixtures ; rays of sunlight poured in through tall windows along two adjacent sides of the room .
",NNS, There were no overhead light fixtures ; rays of sunlight poured in through tall windows along two adjacent sides of the room .
"The Master hobbled out , his back bent as though the blue pointed cap on his head were filled with lead .
",NN," The number of the subject of the sentence is ""The Master."""
"Sexual predators rarely thought beyond their own cravings .
",NNS," The number of the subject of the sentence is ""1""."
"Her thumbs caressed the sculpted line of his cheekbones , holding him still as she pressed her lips to the tip of his aristocratic nose .
",NNS," The subject of the sentence is ""Her."""
"Wisdom , reserve , meditation , secrecy .
",NN," The subject of the sentence is ""Wisdom."""
"The sources I examined are consistent , but most likely because they all have a common origin . ""
",NNS," The number of the subject of the sentence ""The sources I examined are consistent , but most likely because they all have a common origin . "" is ""sources."""
"My stamina isn 't what it should be , and my muscles are already shaking from fatigue .
",NN," The subject of the sentence is ""My stamina."""
"Others in the house were still sleeping .
",NNS," The number of the subject of the sentence ""Others in the house were still sleeping"" is plural."
"Tears began to run down her face and she said , "" Hell , yes . ""
",NNS," The number of the subject of the sentence is ""Tears""."
"Black feathers rain all around me and then everything goes silent .
",NNS," The subject of the sentence is ""Black feathers."""
""" The gas master is in full force mode . ""
",NN," The subject of the sentence is ""The gas master."""
"A queue , a line had formed outside many metres long and wide , a crowd really .
",NN," The subject of the sentence is ""A queue."""
"Lights flashed as Caesar thought .
",NNS," The subject of the sentence is ""Caesar."""
""" Sometimes , the appetizers are better than the main course . ""
",NNS," The number of the subject of the sentence ""Sometimes, the appetizers are better than the main course."" is ""1""."
"But those promises are for what I hope is our future !
",NNS," ""But those promises are for what I hope is our future!"" is a sentence about hope, so the subject is ""I""."
"The photos were duly restrained ; they showed only as much as it was necessary .
",NNS," The subject of the sentence is ""photos."""
"As instructed , servants laid a large pillow beside the throne , and Nolen pulled the Mage up to it .
",NNS," The number of the subject of the sentence is ""servants."""
""" Answer me , "" Jackson commanded , his voice low but his expression thunderous .
",NN, The number of the subject of the sentence is Jackson.
"Moses sat himself down on the ground in front of the bench .
",NNS, There is no subject in this sentence.
"But the new Death has the power to harness souls .
",NN," The subject of the sentence is ""Death."""
"The glamour would be easy .
",NN, glamour
"Some time later , her appetite reminded her that it was time to eat something .
",NN," The subject of the sentence is ""it."""
"My footsteps echoed as I walked across the empty lobby , but the concierge still didn 't come out to greet me .
",NNS," The subject of the sentence is ""I."""
"His flashlight was still working .
",NN," The number of the subject of the sentence is ""one""."
""" There 's tea downstairs if you want any ? ""
",NNS," The subject of the sentence is ""There."""
"Is sexual reproduction a fundamental of our universe or just a chance earth evolutionary success ?
",NN," The subject of the sentence is ""sexual reproduction."""
"Lights flickered in the ceiling and from the open doorways on either side of the hall .
",NNS, There is no subject in this sentence.
"Recovery operations are underway , but authorities believe , given the massive size of the explosions , progress will be ' difficult ' . ""
",NNS," The number of the subject of the sentence ""Recovery operations are underway , but authorities believe , given the massive size of the explosions , progress will be ' difficult ' . "" is ""1""."
"The differences , though , were profound , and McKie reminded himself of this .
",NNS, There is no subject in the sentence.
"The triangles were moving around , changing positions randomly .
",NNS," The subject is ""The triangles."""
"Jess glared at him before winding up the window , and driving on .
",NNS," The number of the subject of the sentence is ""1""."
"Its imposing build and the black color , so menacing and disquieting , attracted him because of the perfect match with his authoritative gloomy character .
",NN," The subject of the sentence is ""Its imposing build and the black color , so menacing and disquieting , attracted him because of the perfect match with his authoritative gloomy character ."""
"There was even an exceptionally vivid drawing of an act so absurdly crude , that I worried how long it would stick in my head .
",NN," The subject of the sentence is ""There."""
""" How have the cravings been lately ? ""
",NNS," The subject of the sentence is ""How."""
""" Okay , my instincts tell me you 're dangerous and powerful .
",NNS, Instincts
"Shadowhunters don 't hide . ""
",NNS," The subject of the sentence is ""Shadowhunters."""
"The trained warrior was instantly pointing toward one of the hovering vampires .
",NN," The subject of the sentence is ""The trained warrior."""
"The bubbles tickled my nose and for a minute I thought I might sneeze .
",NNS," The number of the subject of the sentence is ""I""."
"My survival instincts kicked in and I kicked wildly and bit my attacker 's hand .
",NNS," The number of the subject of the sentence is ""I."""
"Dogs whined and howled .
",NNS," Dogs is the subject of the sentence ""Dogs whined and howled."""
"The drummer , Travis , and I had even had lunch together twice , and when we were working he had established himself as my resident bodyguard .
",NN," The subject of the sentence is ""The drummer, Travis, and I."""
""" The insecurity was always there .
",NN," ""The insecurity"" is the subject of the sentence."
"The effects of the pendant had completely faded by the third day of her awakening .
",NNS," The subject of the sentence is ""The effects of the pendant."""
"Near the window was an elaborate model of the solar system , intricate planets and moons held in place by wire orbits .
",NNS," The subject of the sentence is ""model."""
"Edward 's horn glowed .
",NN, Edward
"Rafe 's official department photograph stared back at her .
",NN," The number of the subject of the sentence ""Rafe 's official department photograph stared back at her ."" is 1."
"A factor which exposed next door 's equally ample greenery .
",NN," The number of the subject of the sentence ""A factor which exposed next door 's equally ample greenery ."" is 1."
"But first , there was Wednesday poached eggs with Caridad , a tradition that now went back more than a decade .
",NNS," The subject of the sentence is ""a tradition."""
"By this time , the stench was more than I could bear .
",NN," The number of the subject of the sentence ""By this time , the stench was more than I could bear ."" is ""the stench."""
"Two gunmen had them pinned from above , and another two were positioned in the dark recesses that stretched before them .
",NNS, Two
"There were no cameras in the room and no obvious listening devices .
",NNS," The number of the subject of the sentence is ""there""."
"When he walked in the door , the coroner , Helen Chuan , a petite , attractive woman , was waiting for him .
",NN," The number of the subject of the sentence is ""When he walked in the door , the coroner , Helen Chuan , a petite , attractive woman , was waiting for him ."""
"The third option was to split the two .
",NN, two
"The trembling hadn 't started yet , but it would soon , and the faster she made her escape , the better .
",NN," The subject of the sentence is ""The trembling."""
"Dragons cannot stand the cold , so when winter fell Hal and his wing would fly south .
",NNS," The subject of the sentence is ""Hal."""
"Maybe even pirates went to bed at a decent hour in Minnesota .
",NNS," The subject is ""hour."""
"The video was there to stay - forever , I was one click away from turning into an E Hollywood story .
",NN," The subject of the sentence is ""The video."""
"Is there a social bound I pass in asking ?
",NN, There is no subject in the sentence.
"The wipers flicked across the windshield , flinging droplets through the glare of the spotlight .
",NNS," The subject is ""The wipers."""
"His guilt wouldn 't let him .
",NN," The subject of the sentence is ""His guilt."""
"At the same time sirens sounded .
",NNS, The number of the subject of the sentence is singular.
"The Sphinx leaned forward and tapped the little gong with the hammer again .
",NN," The subject of the sentence is ""The Sphinx."""
"Glancing at his watch , his perpetual scowl returned .
",NN," The subject of the sentence is ""his."""
"Another bout of giggles erupted before she could stop them .
",NN," The subject of the sentence is ""Another bout of giggles."""
"His motives , and the planning behind the decision to go to the Congo , are a matter of record .
",NNS," The number of the subject of the sentence is ""His motives."""
"The anxiety in her voice is the same that developed in the gym after Nicholas stayed to say hello to her .
",NN," The subject of the sentence is ""The anxiety."""
"With the Need gone , her personality has shifted into something much darker .
",NN," The number of the subject of the sentence is ""With the Need gone , her personality has shifted into something much darker ."""
"Questions mean safety . ""
",NNS," The number of the subject of the sentence ""Questions mean safety."" is 1."
"The slums would burn , not stone nobleman keeps . ""
",NNS," The subject of the sentence is ""The slums."""
"The back seats in the extended cab were also full of suitcases and crates .
",NNS," The subject of the sentence is ""The back seats."""
"Wonder what crisis is boiling up now ?
",NNS," The subject of the sentence is ""crisis."""
""" Privacy laws prevent me from giving you their names . ""
",NNS," The subject of the sentence is ""I."""
"Somewhere in the house a kettle screamed .
",NN," The subject of the sentence is ""a kettle."""
"Chance had agreed to pick me up at my house and take me to his father 's car lot .
",NN, The number of the subject of the sentence is singular.
"More gorillas poured into the compound , ignoring the rasping broadcast sounds .
",NNS," The number of the subject of the sentence is ""More gorillas."""
"10 Inside my body , my cells felt like they were exploding .
",NNS, The number of the subject of the sentence is 10.
"There was enough pork on the 600 pound monster to give a portion to anyone who wandered by the House .
",NN," The subject of the sentence is ""pork."""
"The spider sitting in his brain stared at me with its many eyes .
",NN, 1
"Another deafening crash resounded through the ceiling .
",NN," The subject of the sentence is ""crash."""
"You never call , is your Skype broken ? ""
",NN," The number of the subject of the sentence ""You never call , is your Skype broken ?"" is ""You""."
"Though his touch calmed her , her protective urges were still running high .
",NN," The subject of the sentence is ""his touch."""
"There are too many Officials for me to calculate , but I 'd guess at fifty .
",NNS, The number of the subject of the sentence is 50.
"Things don 't look bad , but this is getting monotonous and I can 't wait to carry her head back to Master .
",NNS," The number of the subject of the sentence is ""one."""
"Part of me was all for walking away , but another knew how vulnerable Trent was .
",NN," The number of the subject of the sentence is ""2""."
"His heart literal y skipped a beat when I moved .
",NN," ""His"" is the number one subject of the sentence."
"The corners of his mouth lifted slightly .
",NNS," The subject of the sentence is ""The corners of his mouth."""
"If that sort of power fell into the wrong hands , the damage would be catastrophic .
",NN," The subject of the sentence is ""sort of power."""
"The marks had stopped moving .
",NNS, There is no subject in this sentence.
"The ancient peoples are at the centre .
",NNS," The number of the subject of the sentence ""The ancient peoples are at the centre"" is plural."
"There was an exclamation from behind the counter .
",NN, There is no subject in the sentence.
"Four shots came within an inch of the center .
",NNS," The number of the subject of the sentence ""Four shots came within an inch of the center"" is four."
"Around the fire , the black figures , the chimps , went wild .
",NNS," The number of the subject of the sentence ""Around the fire , the black figures , the chimps , went wild ."" is 3."
"From my vantage point , I can see the Fitzgerald ranch next to me , the black iron grates in the first-floor windows that apparently I inspired .
",NN," The number of the subject of the sentence is ""I""."
"Her lack of endearment doesn 't go unnoticed , but for some inexplicable reason , the text still makes me smile .
",NN," ""Her"" is the subject of the sentence."
"In return , Errol 's classmates also shared their stories down below the rainbow and the clouds .
",NNS," The number of the subject of the sentence ""In return, Errol's classmates also shared their stories down below the rainbow and the clouds."" is 1."
"Wouldn 't visitors come directly to the outpost ?
",NNS," The subject of the sentence is ""visitors."""
"The hawk sitting in the corner of the boat shuffled his wings .
",NN," The subject of the sentence is ""The hawk."""
"The two inept minions charged up and out of the brush towards Camden crunching twigs underfoot as they went .
",NNS, The number of the subject of the sentence is two.
"The fierce winds sounded like millions of animals crying out at once .
",NNS," The number of the subject of the sentence is ""The""."
"In India , posters of lost children are a common sight in every police station , bus stops , and any public places .
",NNS, India
""" The second creation was a shape-shifter .
",NN," The number of the subject of the sentence is ""The second creation."""
"Late in the afternoon four days later a small air transport arrived at the farm with the new Neil on board .
",NN," The subject of the sentence is ""a small air transport."""
"The antler chandelier once suspended over the dining table now sat in a broken pile on the floor beside my feet .
",NN, There is no subject in this sentence.
"Anxiety about my dad continued to eat me up all day .
",NN," The subject of the sentence is ""Anxiety."""
"There are strong Imperial regulations against weapons . ""
",NNS, There
"The pale orb wobbled , then it rose .
",NN," The subject of the sentence is ""The pale orb."""
"An ibex approached , great horns coiled in arches behind its head .
",NNS," The subject of the sentence is ""An ibex."""
"The others cluster around me , questioning me on what has happened although I cannot bring myself to speak it aloud .
",NN," The number of the subject of the sentence is ""I""."
"The very first passenger was the inventor 's own wife , and no , Mr. Ferris wasn 't seeking to get rid of his good lady . ""
",NN," The number of the subject of the sentence is ""The very first passenger."""
"The soft velvety feel of the sofa cushioned her back .
",NN," The number of the subject of the sentence is ""The."""
"A rainbow appeared on the horizon .
",NN," The number of the subject of the sentence ""A rainbow appeared on the horizon"" is singular."
"But even so , our ideas of what makes a "" good time "" are starkly different .
",NNS," The subject of the sentence is ""our ideas."""
"That would be followed by a plea agreement to driving while intoxicated or some other lame charge , "" the colonel said .
",NN," ""That"""
"The vamps had been tailing me for that long ?
",NNS," The number of the subject of the sentence ""The vamps had been tailing me for that long ?"" is ""the vamps""."
"His reputation on the street was that he got the job done ... whatever the "" job "" was , efficiently and without fuss .
",NN," The number of the subject of the sentence is ""His."""
"Zeus inhaled through his nose and stared at the ceiling .
",NNS, There is no subject in this sentence.
"A soldier advanced toward them , "" Where you folks planning on going ?
",NN," There is no subject in the sentence ""A soldier advanced toward them , "" Where you folks planning on going ?"""
"Of course the colors were different .
",NNS," The subject of the sentence is ""the colors."""
"When he came toward her , his movements were well-coordinated , which allowed Emma to relax a little .
",NNS, The number of the subject of the sentence is he.
"Looks like we 've got some brave souls fighting on our side . ""
",NNS," ""We"" is the subject of the sentence."
"The pretty young blonde looked right at her then , and even in the distance , Kira could see a flash of bright green in her eyes .
",NN," The subject of the sentence is ""The pretty young blonde."""
"And there was the damage the propellers below the surface could do .
",NN," The number of the subject of the sentence is ""the damage."""
"His planned route had never considered a final destination , only the goal of escape .
",NN," The subject of the sentence is ""His planned route."""
"Both groups forbade the match and told the pair that they would disown them if they went ahead .
",NNS," ""They"" is the subject of the sentence."
"Her self-deprecating humor is far too alluring for my own good .
",NN," The subject is ""Her self-deprecating humor."""
"The cold iron of manacles clamped Rif 's wrists .
",NN," The subject of the sentence is ""The cold iron of manacles."""
"There were more competitors at this third event of the season , making the wait between rides that much longer .
",NNS," The subject of the sentence is ""There."""
"The Molotov cocktails rained down on the lake periphery with uncanny accuracy .
",NNS," The subject of the sentence is ""The Molotov cocktails."""
"All the stores were near empty .
",NNS," The subject of the sentence is ""All the stores."""
"There was no nausea , no distaste for the smells wafting in the air around him .
",NN," The subject of the sentence is ""There."""
"At the request her manner changed ; she seemed frightened !
",NN," The subject of the sentence is ""she."""
"The supplies we brought were just a guess .
",NNS," The subject of this sentence is ""supplies."""
""" Two trailers , "" Luc said , pointing to the screen .
",NNS," The subject of the sentence is ""Two trailers."""
"Just as quickly , orbs of all shapes and sizes flared to light around me .
",NNS, There is no subject in this sentence.
"Clever trick of Andrei 's to give a few more minutes ' grace .
",NN," The number of the subject of the sentence is ""1""."
"Raw , bright colors edge into his aura .
",NNS," The subject of the sentence is ""colors."""
