sentence,label,GPT3_response
""" I don 't have any contracts for it right now .
",NNS," The number of the object of the sentence ""I don't have any contracts for it right now"" is singular."
"That light touch alone sent her senses soaring .
",NNS," The number of the object of the sentence ""That light touch alone sent her senses soaring"" is singular."
"With a flick of his wrist , he parted the folds of my skirt .
",NNS," The number of the object of the sentence ""With a flick of his wrist , he parted the folds of my skirt ."" is singular."
"She racked her brains to think what could have possibly got the government 's attention ?
",NNS," The number of the object of the sentence ""She racked her brains to think what could have possibly got the government 's attention ?"" is singular."
"Since the kiss that morning , Neal hadn 't renewed his attentions .
",NNS, singular
"Thank heavens she 'd thought to indulge in pink satin after her shower .
",NNS, singular
"The other ships had all taken up anchoring positions around the large green bridge that towered over the river .
",NNS, singular
"The Grand Master frowned at the tarnished grain , she could of at least had the decency to defile the floor .
",NN, singular
"I swipe my palms over my jeans .
",NNS," The number of the object of the sentence ""I swipe my palms over my jeans"" is singular."
"And she had a special abilities just like me .
",NNS, Singular.
"The wind carried fragments of laughter over to the balcony .
",NNS," The number of the object of the sentence ""The wind carried fragments of laughter over to the balcony"" is plural."
""" My Dad had a stroke about 5 years ago .
",NN, Singular
"I know Arlo 's capabilities and James is only human .
",NNS," The number of the object of the sentence ""I know Arlo's capabilities and James is only human."" is singular."
"His eyes shot bitter venom at her .
",NN," The number of the object of the sentence ""His eyes shot bitter venom at her."" is singular."
"Her questing fingers found his flat , male nipple ; she smiled to see it draw to a tight point under her touch .
",NN, The number of the object of the sentence is singular.
"Who knew what nightmare his brother would raise ?
",NN," The number of the object of the sentence ""Who knew what nightmare his brother would raise?"" is singular."
"He steps down another stair and then another , closing in on me like the damn walls always do .
",NN, singular
"You have four new messages from your grandpa !
",NNS," The number of the object of the sentence ""You have four new messages from your grandpa!"" is plural."
"He saw easy marks in the two young sailors .
",NNS," The number of the object of the sentence ""He saw easy marks in the two young sailors"" is plural."
"Whatever was happening , my trembling hands had already started the task of searching for the spot where I 'd left off .
",NN, The number of the object of the sentence is singular.
"While I waited , still clutching Sawyer 's hand , I felt the stares around me .
",NNS, singular
""" Son , I saw those pages the vamps sent .
",NNS," The number of the object of the sentence """" Son , I saw those pages the vamps sent .
"" is plural."
"He could feel the heaviness in her heart .
",NNS," The number of the object of the sentence ""He could feel the heaviness in her heart."" is singular."
"It 's carrying hardware , no crew - everything on automatic . ""
",NN," The number of the object of the sentence ""It 's carrying hardware , no crew - everything on automatic . "" is plural."
"Caterina pulled the reins of her horse in , so that it reared .
",NNS," The number of the object of the sentence ""Caterina pulled the reins of her horse in , so that it reared .
"" is singular."
"The bite shot a zing of sensation to every limb .
",NN," The number of the object of the sentence ""The bite shot a zing of sensation to every limb."" is singular."
"The company was making significant leaps every day and he 'd become confident in the abilities of his subordinate Officers .
",NNS, It is singular.
"But did she have the sorts of dreams I had ?
",NNS," The number of the object of the sentence ""But did she have the sorts of dreams I had?"" is singular."
""" Oops -- dropped my pen . ""
",NN, singular
"I can still tell you what was in there : Two dresses , one fancier than the other .
",NNS," The number of the object of the sentence ""I can still tell you what was in there: Two dresses, one fancier than the other."" is plural."
"It also hovered only a few inches from her skin , same as with Kingsley .
",NNS, singular
"Once the tents were up , a variety of colors checkered the landscape .
",NN," The number of the object of the sentence ""Once the tents were up , a variety of colors checkered the landscape ."" is plural."
"Mara set down a platter overflowing with biscuits , warm slices of fresh bread , bacon , and sausage links .
",NN, The number of the object of the sentence is plural.
"A tingle of excitement ran down his spine .
",NN," The number of the object of the sentence ""A tingle of excitement ran down his spine."" is singular."
"Her comment pricks my curiosity , but she continues before I can ask her about it .
",NN, singular
"Will probably make an excellent hunter , too .
",NN, singular
"When he arrived to the tables he found his group playing cards as if nothing was happening .
",NNS," The number of the object of the sentence ""When he arrived to the tables he found his group playing cards as if nothing was happening."" is plural."
"Usually , the pill dulled all areas of the brain except for the one in which the person was naturally most gifted .
",NNS," The number of the object of the sentence "" Usually , the pill dulled all areas of the brain except for the one in which the person was naturally most gifted . "" is singular."
"Then I pick up a razor that 's by my foot and break up the clumps with it .
",NN," The number of the object of the sentence ""Then I pick up a razor that 's by my foot and break up the clumps with it .
"" is singular."
"His body stopped inches away from hers .
",NNS," The number of the object of the sentence ""His body stopped inches away from hers."" is singular."
"At sixteen , she could be considered a suspect .
",NN, singular
"Anger must be cutting off the blood supply to her brain .
",NN," The number of the object of the sentence ""Anger must be cutting off the blood supply to her brain."" is singular."
""" I found cameras in the bedrooms ! ""
",NNS," The number of the object of the sentence ""I found cameras in the bedrooms!"" is plural."
"Standing a few yards away was a little girl , her head cocked at an impossible angle and dry blood covering her mouth .
",NNS, The number of the object of the sentence is singular.
"I swallow my toast and take a sip of tea .
",NN," The number of the object of the sentence ""I swallow my toast and take a sip of tea"" is singular."
"Why , when I look in your eyes , I see the wheels turning ? ""
",NNS," The number of the object of the sentence ""Why , when I look in your eyes , I see the wheels turning ? "" is singular."
"Pork was getting a good price and they 'd been able to buy another horse and a small wagon .
",NN," The number of the object of the sentence ""Pork was getting a good price and they 'd been able to buy another horse and a small wagon .
"" is plural."
"As soon as you reach the bottom use your compass to navigate there .
",NNS," The number of the object of the sentence ""As soon as you reach the bottom use your compass to navigate there"" is singular."
"When I went to bed earlier , I heard the typical night noises from the nocturnal animals in the trees and the insects making their usual sounds .
",NNS, The number of the object of the sentence is singular.
"The second dark-haired man snapped off a salute .
",NN," The number of the object of the sentence ""The second dark-haired man snapped off a salute"" is singular."
"I was just bagging apples when my cell phone rang .
",NNS," The number of the object of the sentence ""I was just bagging apples when my cell phone rang."" is singular."
"An evil woman would have given the disks to Bill 's boss , Eric .
",NNS, singular
"He used the cloth to blot them away .
",NN," The number of the object of the sentence ""He used the cloth to blot them away .
"" is plural."
"I shuddered at the eerie image and sat down on one of the uncomfortably firm red sofas that filled the family Cinema .
",NNS, The number of the object of the sentence is plural.
""" I hunt monsters and I think there is one here .
",NNS," The number of the object of the sentence ""I hunt monsters and I think there is one here."" is singular."
"They made their exit together and , shortly thereafter , her magic carried them both far away .
",NN," The number of the object of the sentence ""They made their exit together and , shortly thereafter , her magic carried them both far away ."" is plural."
"' They 'll keep your spark plugs working if you 're lucky , but that 's about it .
",NNS, The number of the object of the sentence is plural.
"Tonight I bought condoms , and almost nothing else , with the boy I 'm planning to use them with .
",NNS, The number of the object of the sentence is singular.
"The stone had a smooth , almost glassy quality as it reflected the evening sun .
",NN," The number of the object of the sentence ""The stone had a smooth , almost glassy quality as it reflected the evening sun .
"" is singular."
"Fallon suppressed a groan .
",NN," The number of the object of the sentence ""Fallon suppressed a groan."" is singular."
"Either way , Lena would be reading the crossword puzzle .
",NN," The number of the object of the sentence ""Either way, Lena would be reading the crossword puzzle."" is singular."
"Fortunately , she hadn 't requested references .
",NNS, The number of the object of the sentence is singular.
"We found the labs on the next floor .
",NNS," The number of the object of the sentence ""We found the labs on the next floor .
"" is singular."
"I ordered two hamburgers for him and a small Pepsi for me , and returned to the table to wait .
",NNS, The number of the object of the sentence is plural.
"He must have felt pity for me , otherwise he never would have smiled and answered .
",NN, singular
"He took a cloth and wiped her face , and then he kissed her forehead .
",NN, The number of the object of the sentence is singular.
"He flipped a few more pages .
",NNS," The number of the object of the sentence ""He flipped a few more pages."" is plural."
"Quinlan closed the file and set it down , then crossed his arms over his chest .
",NN, The number of the object of the sentence is singular.
"I could almost see his mind spinning .
",NN," The number of the object of the sentence ""I could almost see his mind spinning"" is singular."
""" Can I borrow a pen ? ""
",NN," The number of the object of the sentence ""Can I borrow a pen?"" is singular."
"And in my head , I 'm already composing the email that I 'll send to Becca about this experience .
",NN, The number of the object of the sentence is singular.
"Buck patted the pistol inches from our heads .
",NNS, singular
"In her mind 's eye , Sean 's Collar gleamed on his throat like a white-hot band , the Celtic knot a tangle of bright energy .
",NN, singular
"Ed called everyone Kevin .
",NNS," The number of the object of the sentence ""Ed called everyone Kevin .
"" is singular."
"I heard the sirens first .
",NNS," The number of the object of the sentence ""I heard the sirens first"" is singular."
"I zipped the pamphlets into my backpack and stepped into the hallway , thinking it was lucky I 'd kept that stupid elevator key after all .
",NNS, singular
"Mallory and I exchanged hugs .
",NNS, singular
"Jennifer shouldered a large platter and tacked on an artificial smile .
",NN," The number of the object of the sentence ""Jennifer shouldered a large platter and tacked on an artificial smile."" is singular."
"I had ignored her obvious attempts to ditch me .
",NNS, singular
"He pushed the notepad across the table .
",NN," The number of the object of the sentence ""He pushed the notepad across the table .
"" is singular."
""" Why don 't we just take the tape to the Principal ? ""
",NN," The number of the object of the sentence ""Why don't we just take the tape to the Principal?"" is singular."
"I skim down the page briefly before I begin reading .
",NN," The number of the object of the sentence ""I skim down the page briefly before I begin reading"" is singular."
"Austin set up the speakers and docked his iPod .
",NNS, The number of the object of the sentence is singular.
"She stiffened her backbone and lifted her chin .
",NN, singular
"I explored the contents of the cupboard , but didn 't find anything that sounded good .
",NNS, The number of the object of the sentence is singular.
"Hormones and sex appeal suck balls .
",NNS," The number of the object of the sentence ""Hormones and sex appeal suck balls"" is singular."
"She got the coke .
",NN," The number of the object of the sentence ""She got the coke."" is singular."
""" I beg your pardon , Mademoiselle , she 's a Turk - she recently followed me to France , from Martinique . ""
",NN, The number of the object of the sentence is singular.
"Kai added more than enough milk to his , hesitating before he asked , "" Did you mean that ? ""
",NN, The number of the object of the sentence is singular.
"She nudged her horse several paces to one side and let out a sigh of relief .
",NNS, The number of the object of the sentence is singular.
"His arrow missed the wolves by a large margin .
",NNS," The number of the object of the sentence ""His arrow missed the wolves by a large margin"" is plural."
"Savannah found two candles .
",NNS," The number of the object of the sentence ""Savannah found two candles."" is plural."
"I think perhaps the latter because they would not have carried him down the stairs last night when he was bleeding .
",NN, The number of the object of the sentence is singular.
"If so , they risked capture by the Spanish , or murder by this or some other tribe on the way south or on the way back .
",NN, The number of the object of the sentence is singular.
"Henrietta gave a shrug , which was probably the wrong thing to do .
",NN," The number of the object of the sentence ""Henrietta gave a shrug , which was probably the wrong thing to do .
"" is singular."
"Otherwise you can run some errands for me , like picking up your prom dress . ""
",NNS, The number of the object of the sentence is singular.
"Gloria always had her best interests at heart .
",NNS, Singular.
"The creatures slammed into their blades and shields amidst a cacophony of screeches and guttural sounds unintended for men 's ears .
",NN, The number of the object of the sentence is plural.
"We had families to worry about . ""
",NNS," The number of the object of the sentence ""We had families to worry about."" is plural."
"If you ran out on them and left them here , how could you look those little wobbly noses in the face again ? '
",NNS, The number of the object of the sentence is singular.
""" Two hundred dollars ? ""
",NNS," The number of the object of the sentence ""Two hundred dollars"" is singular."
"We can 't take any chances . ""
",NNS," The number of the object of the sentence ""We can't take any chances."" is singular."
"She probably doesn 't even need a bodyguard .
",NN," The number of the object of the sentence ""She probably doesn't even need a bodyguard."" is singular."
"A few hundred yards through the woods he could see the frame of a barn under construction .
",NN, The number of the object of the sentence is singular.
"Then again , he was wearing a bulletproof vest .
",NN," The number of the object of the sentence ""Then again , he was wearing a bulletproof vest .
"" is singular."
"I hold an umbrella over three heads , fighting off the rain while the moisture brightens the old mounds of dirt , like a fresh dig .
",NN, The number of the object of the sentence is singular.
""" I don 't hurt females .
",NNS," The number of the object of the sentence ""I don't hurt females."" is singular."
"She loved jewelry and it had an assortment of jewelry inside .
",NN," The number of the object of the sentence ""She loved jewelry and it had an assortment of jewelry inside"" is plural."
"He jerked the material over his head , baring his chest to her view .
",NN," The number of the object of the sentence ""He jerked the material over his head , baring his chest to her view .
"" is singular."
"NO NO NO NO NO NO NO .
",NN," The number of the object of the sentence ""NO NO NO NO NO NO NO ."" is singular."
"I 'd drunk a soda and let it go at that .
",NN, singular
"He knew his duty .
",NN," The number of the object of the sentence ""He knew his duty"" is singular."
""" I have exactly one fifteen minute video . ""
",NN, The number of the object of the sentence is singular.
"Our EBT sheeple will out vote the opposition .
",NN," The number of the object of the sentence ""Our EBT sheeple will out vote the opposition"" is plural."
"Money can buy people many items .
",NNS," The number of the object of the sentence ""Money can buy people many items."" is plural."
"You 're making excuses for her .
",NNS," The number of the object of the sentence ""You 're making excuses for her .
"" is singular."
"He 'd already put pints of blood and sweat into it , but he should be able to safely hand it over now .
",NNS," The number of the object of the sentence ""He 'd already put pints of blood and sweat into it , but he should be able to safely hand it over now .
"" is singular."
"I 've got eleven more to go . ""
",NNS," The number of the object of the sentence ""I 've got eleven more to go . "" is singular."
"Because you had a mental breakdown ? ""
",NN," The number of the object of the sentence ""Because you had a mental breakdown?"" is singular."
"We must set a good example . ""
",NN, singular
"Mr. Skeeter turned the glare of disappointment on me and I shut up .
",NN," The number of the object of the sentence ""Mr. Skeeter turned the glare of disappointment on me and I shut up."" is singular."
"Do you accept the responsibility this task entails , and do you now swear to uphold our laws ?
",NN," The number of the object of the sentence ""Do you accept the responsibility this task entails , and do you now swear to uphold our laws ?"" is singular."
""" I 'm sending you his info . ""
",NN," The number of the object of the sentence ""I'm sending you his info."" is singular."
"One of his men is regaining consciousness and is attempting to stand .
",NN," The number of the object of the sentence ""One of his men is regaining consciousness and is attempting to stand"" is singular."
"We will not allow harm to come her way again . ""
",NN, The number of the object of the sentence is singular.
"I felt my pulse quicken all the way to my fingertips as a million questions flooded my head .
",NN, The number of the object of the sentence is singular.
""" Activate all perimeter sensors . ""
",NNS," The number of the object of the sentence ""Activate all perimeter sensors."" is plural."
"They shared unique powers , but those powers could never be blended .
",NNS, singular
"He straightened her gown , then crossed the room , picked up a comforter from a divan , returned , and covered her with it .
",NN, The number of the object of the sentence is singular.
"Charlie honked his horn impatiently .
",NN," The number of the object of the sentence ""Charlie honked his horn impatiently."" is singular."
"' They sign a pledge not to touch alcohol .
",NN," The number of the object of the sentence ""' They sign a pledge not to touch alcohol .
"" is singular."
"His dark hair looked artificial , like something penned in with a Magic Marker .
",NN, The number of the object of the sentence is singular.
"Bob whittled a scale into the branch .
",NN," The number of the object of the sentence ""Bob whittled a scale into the branch"" is singular."
"Applying pressure , I worked my thumbs up the muscles of his spine .
",NNS, The number of the object of the sentence is singular.
"He found no batteries , but two foil wrapped cereal bars looked to be in relatively good condition , so he tucked them into his pocket .
",NNS, The number of the object of the sentence is singular.
"The very strength of the British fleet left the ships on the blockade in strangely isolated circumstances .
",NNS," The number of the object of the sentence ""The very strength of the British fleet left the ships on the blockade in strangely isolated circumstances."" is plural."
"I pushed aside my growing unease .
",NN," The number of the object of the sentence ""I pushed aside my growing unease."" is singular."
"His magic had chosen the method .
",NN," The number of the object of the sentence ""His magic had chosen the method"" is singular."
"The little boy , Hanif , is shooting daggers at me with his eyes -- all of us actually .
",NNS, The number of the object of the sentence is plural.
"Who would he share his secrets with when she was gone ?
",NNS," The number of the object of the sentence ""Who would he share his secrets with when she was gone?"" is singular."
""" On the other hand , he 'd dropped his steak into the fire , so I 'd had to split mine with him .
",NN, singular
"Once he had fought the invisible ties that bound him .
",NNS," The number of the object of the sentence ""Once he had fought the invisible ties that bound him"" is singular."
"A tremor of dread rippled down Julia 's spine .
",NN," The number of the object of the sentence ""A tremor of dread rippled down Julia 's spine .
"" is singular."
"We could then start ruling together .
",NN," The number of the object of the sentence ""We could then start ruling together."" is singular."
""" I had a hunch that was what was going on . ""
",NN, singular
"He was wearing brown slacks and a tan button-down shirt , with wool slippers .
",NNS, The number of the object of the sentence is singular.
"She could use her healing gifts enough to help .
",NNS," The number of the object of the sentence ""She could use her healing gifts enough to help ."" is singular."
"Trick smiles and his eyes hold no humor , just dead blackness , like a shark 's .
",NN, The number of the object of the sentence is singular.
"I put him in a couple of deals for peanuts and made him over one hundred thousand dollars . ""
",NNS, The number of the object of the sentence is singular.
"He had felt an initial terror and an urge to run for cover .
",NN," The number of the object of the sentence ""He had felt an initial terror and an urge to run for cover"" is singular."
"Shaken , he redoubled his efforts to concentrate .
",NNS," The number of the object of the sentence ""Shaken , he redoubled his efforts to concentrate ."" is singular."
"I didn 't want the devils to come for me and the site of losing my whole family still stung me .
",NNS, The number of the object of the sentence is singular.
"Might as well do the furniture too , for he had taken over the existing furniture when he bought the home .
",NN, singular
""" How many other sisters do you have , again ? ""
",NNS," The number of the object of the sentence ""How many other sisters do you have, again?"" is plural."
""" So you have fangs ?
",NNS," The number of the object of the sentence ""So you have fangs?"" is singular."
"She 's kept up her version of the villainous Andrade clan when Nick only remembered them warmly welcoming him .
",NN, The number of the object of the sentence is singular.
""" I never take clients along on a verification trip .
",NNS," The number of the object of the sentence ""I never take clients along on a verification trip"" is singular."
"Eli put down his hot chocolate .
",NN, singular
""" If I give the order to get out , I don 't want any arguments . ""
",NNS," The number of the object of the sentence ""If I give the order to get out, I don't want any arguments."" is singular."
"At state , we usually have two relay teams , the main team and subs .
",NNS, plural
"She just didn 't want her record producing boyfriend to see the evidence of her betrayal .
",NN, The number of the object of the sentence is singular.
""" The next time you feel like getting upset and yelling at the entire council , do us all a favor ? ""
",NN, The number of the object of the sentence is singular.
"He knocked two coins off the price if I gave him the Jeep for a week . ""
",NNS, singular
"I gave a lopsided shrug .
",NN," The number of the object of the sentence ""I gave a lopsided shrug."" is singular."
"He took his wallet out of a pocket and retrieved a roll of notes .
",NN," The number of the object of the sentence ""He took his wallet out of a pocket and retrieved a roll of notes"" is singular."
"They all have a personality .
",NN," The number of the object of the sentence ""They all have a personality"" is plural."
"I made vague regretful noises so that Lillian would continue .
",NNS," The number of the object of the sentence ""I made vague regretful noises so that Lillian would continue"" is singular."
"The more you rise in life , more you lose the freedom to operate .
",NN," The number of the object of the sentence ""The more you rise in life , more you lose the freedom to operate ."" is plural."
"You have ripped the lid off the powder keg .
",NN, Singular
"Savannah let out another breathy moan and he thought his heart stopped .
",NN," The number of the object of the sentence ""Savannah let out another breathy moan and he thought his heart stopped."" is singular."
"You cook his meals , clean his home , give him regular sex that makes him easier to deal with .
",NNS, The number of the object of the sentence is plural.
"Judge hadn 't experience joy in his life for decades .
",NN, singular
"Rina , who lacked artifice and possessed extraordinary depth offered him many layers to uncover and revel in .
",NNS, The number of the object of the sentence is singular.
"With so much powerful opposition , I don 't give good odds on their success .
",NNS, The number of the object of the sentence is singular.
"How else could I explain his powers ?
",NNS," The number of the object of the sentence ""How else could I explain his powers ?"" is singular."
"Jon had no other directions to follow so he turned the machine to the vector KT pointed too .
",NNS, The number of the object of the sentence is singular.
"The mingled gray and silver lifelines decorated the landscape like tinsel on a Christmas tree .
",NN," The number of the object of the sentence ""The mingled gray and silver lifelines decorated the landscape like tinsel on a Christmas tree."" is singular."
"Like the chunks of cleanser in the shower . ""
",NNS," The number of the object of the sentence ""Like the chunks of cleanser in the shower."" is singular."
"Claire reared back , her black bob swinging .
",NN," The number of the object of the sentence ""Claire reared back , her black bob swinging ."" is singular."
"I want his cock inside me .
",NN, singular
"It was definitely covering its tracks .
",NNS, The object of the sentence is singular.
"His blue eyes held an intelligence that indicated that he was not easily taken in by falsehoods .
",NN, The number of the object of the sentence is singular.
"Alcoa needs tin and bauxite and copper .
",NN," The number of the object of the sentence ""Alcoa needs tin and bauxite and copper."" is plural."
"You , Uncle Karol , will teach your classes tomorrow .
",NNS," The number of the object of the sentence ""You , Uncle Karol , will teach your classes tomorrow .
"" is singular."
"She rubbed its hardness on her cheeks , and she allowed her lips to glide over the soft wrinkled skin of his scrotum .
",NNS," The number of the object of the sentence ""She rubbed its hardness on her cheeks , and she allowed her lips to glide over the soft wrinkled skin of his scrotum ."" is singular."
"You take some deep breaths and calm down . ""
",NNS," The number of the object of the sentence ""You take some deep breaths and calm down"" is plural."
""" No , listen , "" he said , a knot of need tightening in his gut as her sweet scent stormed his senses .
",NNS, singular
""" You could describe the Exclusive Brethren as an extremist splinter group from them .
",NNS, The number of the object of the sentence is singular.
""" I mean umm ... hi !
",NN," The number of the object of the sentence ""I mean umm ... hi!"" is singular."
"I know the lesson for the day .
",NN," The number of the object of the sentence ""I know the lesson for the day"" is singular."
"Gathering her up in his arms , he lifted her thighs around his waist and drove home in one deep thrust .
",NNS, The number of the object of the sentence is singular.
"Stopping at a vendors stall , Scarborough bought a banana which she shared with her husband in a rare moment of generosity .
",NN, The number of the object of the sentence is singular.
"I followed his advice almost to the letter because I was so grateful for what he had done for me .
",NN, The number of the object of the sentence is singular.
"I relayed the elements of the toxin to Aidan .
",NNS," The number of the object of the sentence ""I relayed the elements of the toxin to Aidan"" is singular."
"Most don 't have powers .
",NNS," Most is a plural pronoun, so the number of the object of the sentence is plural."
"Overhead , the wind chased the clouds across the darkening sky .
",NNS, The number of the object of the sentence is singular.
"I aint pain ya to run a social club , ' he shouted , his voice was coarse and guttural .
",NNS," The number of the object of the sentence ""I aint pain ya to run a social club , ' he shouted , his voice was coarse and guttural .
"" is singular."
"He dismissed that possibility accordingly .
",NN," The number of the object of the sentence ""He dismissed that possibility accordingly."" is singular."
"She took a towel and covered herself with it .
",NN," The number of the object of the sentence ""She took a towel and covered herself with it ."" is singular."
"Just when Alix was drifting back to sleep , she heard a loud moan , as if Laurel was in horrible pain .
",NN, The number of the object of the sentence is singular.
"Jane couldn 't suppress the yawn .
",NN," The number of the object of the sentence ""Jane couldn 't suppress the yawn .
"" is singular."
"He has no male peers in his life .
",NNS," The number of the object of the sentence ""He has no male peers in his life."" is singular."
"I didn 't need her pity .
",NN," The number of the object of the sentence ""I didn't need her pity."" is singular."
"Lily made the necessary introductions , marveling at how Mr. Dolan , too , seemed inordinately eager to make Janey 's acquaintance .
",NNS, The number of the object of the sentence is singular.
""" All those who live here take their obligations seriously . ""
",NNS, plural
"She placed her palms on the glass .
",NNS," The number of the object of the sentence ""She placed her palms on the glass"" is singular."
"Heavy slabs of muscles layered his ribs , but his skin was too pale , and cold to the touch .
",NNS, The number of the object of the sentence is singular.
"He offered no denial about the fact that he 'd sneaked inside .
",NN, The number of the object of the sentence is singular.
"The ambulance men bent down and with gentle , careful movements peeled back the patchwork quilt .
",NN," The number of the object of the sentence ""The ambulance men bent down and with gentle , careful movements peeled back the patchwork quilt ."" is singular."
"You want their minds .
",NNS," The number of the object of the sentence ""You want their minds"" is plural."
"I was now navigating the quarry roads from the map .
",NNS," The number of the object of the sentence ""I was now navigating the quarry roads from the map"" is singular."
"David Wise had been delivering babies for more than twenty years , and his calm reassurance had gone a long way toward relieving James 's fears .
",NNS, The number of the object of the sentence is singular.
""" You 're pleading less-than-perfect English skills to explain the inappropriateness of barking ' stay ' at me across the parking lot like that ? ""
",NNS, The number of the object of the sentence is singular.
"Her hands traveled down my backside as she dug her nails into my back , exciting me more than I already was .
",NN, singular
"She hadn 't put any restrictions or limitations on who or what kind of man she wanted to fulfill her needs .
",NNS, singular
""" Wow , I 've never met a real writer before .
",NN, The number of the object of the sentence is singular.
"The cold bit like fangs during the night .
",NNS, singular
"Lavender unwound the chain from around the handcuffs and she was free to move around , albeit her left hand was still handcuffed .
",NN, singular
